,Suburb,Business.Type,Name.of.Business,Latitude,Longitude,Address,Phone.Number
0,Mornington,Legal Services,Mornington Legal,-38.22718,145.04353999999998,"342 Main St, Mornington VIC 3931",(03) 5975 7611
1,Mornington,Solicitor,Alesci Lawyers,-38.217909999999996,145.03696000000002,"1 Queen St, Mornington VIC 3931",(03) 5977 1000
2,Mornington,Legal Services,Lawyers By The Bay,-38.21765,145.038025,"11 Railway Grove, Mornington VIC 3931",(03) 8680 2549
3,Mornington,Solicitor,Marshalls+Dent Lawyers Mornington,-38.21921,145.03887,"Level 1, Suite 2/26 McLaren Place, Mornington VIC 3931",(03) 5973 6919
4,Mornington,Solicitor,Walls Bridges Lawyers,-38.22013,145.03838000000002,"49 Octavia St, Mornington VIC 3931",(03) 5977 0680
5,Mornington,General practice attorney,Carroll Goldsmith Lawyers,-38.21632,145.03603999999999,"1/176 Main St, Mornington VIC 3931",(03) 5975 7588
6,Mornington,Law firm,Stidston Warren Lawyers,-38.22095,145.04057,"suite 1 level 1/10 Blamey Pl, Mornington VIC 3931",(03) 5975 5222
7,Mornington,Solicitor,"Roberts Beckwith Partners,Beckwith C",-38.221579999999996,145.04057,"16 Blamey Pl, Mornington VIC 3931",(03) 5975 4133
8,Mornington,Solicitor,Urban Law Group,-38.229058,145.044649,"7/234 Main St, Mornington VIC 3931",(03) 5975 2000
9,Mornington,Law firm,PHAEDONOS LAW,-38.218441999999996,145.037834,"307 Main St, Mornington VIC 3931",(03) 5976 1688
10,Mornington,Family law attorney,Anchorage legal,-38.225958,145.042777,"Ground Floor 2/328 Main St, Mornington VIC 3931",(03) 9070 1199
13,Mornington,Legal Services,Peninsula Injury Lawyers,-38.226453,145.042614,"level 2/315 Main St, Mornington VIC 3931",(03) 5924 1007
14,Mornington,Solicitor,Hill Legal,-38.233838,145.06233400000002,"22a Milgate Dr, Mornington VIC 3931",(03) 5976 6500
16,Mornington,Solicitor,JG Nixon PTY Ltd.,-38.213275,145.05123700000001,"1 Rothesay Ave, Mornington VIC 3931",(03) 5975 3130
17,Mornington,Legal Services,Roberts Beckwith Partners,-38.221171999999996,145.0405,"2/16 Blamey Pl, Mornington VIC 3931",(03) 5975 4133
21,Pakenham,Law firm,Duffy & Simon,-38.074417,145.48478400000002,"13 John St, Pakenham VIC 3810",(03) 5941 1622
22,Pakenham,Personal injury attorney,Ryan Carlisle Thomas Lawyers,-38.071717,145.47518,"114 Main St, Pakenham VIC 3810",(03) 5941 5722
24,Pakenham,Legal Services,My Legal Crunch - Lawyers,-38.069808,145.465236,"5 McMaster Ct, Pakenham VIC 3810",1800 572 417
25,Pakenham,Family law attorney,Pakenham Lawyers,-38.072977,145.47713000000002,"18 Main Street,18 Main Street, Pakenham Vic 3810",1800 754 401
26,Pakenham,Legal Services,Casey Business Lawyers Pty Ltd,-38.061186,145.463413,"Unit 6/ 1/5 Purton Rd, Pakenham VIC 3810",0435 876 445
27,Pakenham,Legal Services,Pakenham Conveyancing,-38.074417,145.484787,"25 John St, Pakenham VIC 3810",(03) 5940 2208
30,Pakenham,Legal Services,Francis Alan Rutherford Barrister & Solicitor,-38.075107,145.49199199999998,"55 Simon Dr, Pakenham VIC 3810",0418 569 566
31,Pakenham,Legal Services,Securitinet Conveyancing PTY Ltd.,-38.071715999999995,145.475174,"156 Main St, Pakenham VIC 3810",(03) 5941 1577
32,Pakenham,criminal justice attorney,Galbally & O'Bryan,48.436408,-123.371959,"Shop 1/15 John St, Pakenham VIC 3810",(03) 5941 7990
39,Pakenham,Solicitor,Conveyancing Pakenham $350.00 by GSY Lawyers,-38.06411,145.433533,"William Ct, Melbourne 3000 Pakenham VIC 3810",(03) 8338 0298
40,Pakenham,Solicitor,Megan Copas Solicitor,-38.04303,145.437393,"250 Brown Rd, Pakenham VIC 3810",(03) 5943 1203
42,Berwick,Legal Services,berwicklegal,-38.014499,145.345375,"10 Panoramic Terrace, Berwick VIC 3806",(03) 9769 3699
43,Berwick,Legal Services,Berwick Conveyancing,-38.02995,145.346093,"1a/10 Blackburne Square, Berwick VIC 3806",(03) 9769 4436
45,Berwick,Legal Services,First Class Legal,-38.033977,145.345783,"4 Gloucester Ave, Berwick VIC 3806",1300 956 321
47,Berwick,Legal Services,Maxiom Injury Lawyers,-38.042609999999996,145.34561200000002,"48 Kangan Dr, Berwick VIC 3806",1800 853 085
48,Berwick,Legal Services,Dreary Pty Ltd.,-38.062808000000004,145.339066,"1 Oshea Rd, Berwick VIC 3806",(03) 9702 1733
49,Berwick,Family law attorney,Malkin Lawyers,48.428362,-123.35878799999999,"3/28-32 Gloucester Ave, Berwick VIC 3806",(03) 9768 9658
50,Berwick,Divorce Lawyer,Just Family Law - Berwick,-38.031407,145.34463799999997,"54 High St, Berwick VIC 3806",(03) 9793 7888
51,Berwick,Law firm,Moondarra Legal,-38.064726,145.33001299999998,"64 Moondarra Dr, Berwick VIC 3806",(03) 9702 2153
52,Berwick,Solicitor,Wollerman Shacklock Lawyers,-38.037172,145.348469,"Level 2/8 Gloucester Ave, Berwick VIC 3806",(03) 9707 1155
53,Langwarrin ,Law firm,Peter Haberle,-38.147384,145.1738,"5/411 McClelland Dr, Langwarrin VIC 3910",(03) 9789 7655
54,Langwarrin ,Legal Services,Qhm Lawyers,-38.152349,145.1636,"212 Karingal Dr, Frankston VIC 3199",0432 866 816
55,Langwarrin ,Legal Services,Langwarrin Conveyancing Services,-38.15786,145.1842,"10 Colin Court,Langwarrin 3910",(03) 9789 7870
56,Langwarrin ,Legal Services,Double Bay Conveyancing,-38.166769,145.1626,"7 Apollo Ct, Frankston VIC 3199",(03) 9789 7352
57,Langwarrin ,Legal Services,Silverthorn Conveyancing Langwarrin,-38.1513175,145.1971,"The Gateway, Shop 3/230 Cranbourne-Frankston Rd, Langwarrin VIC 3910",(03) 8743 1068
58,Langwarrin ,Legal Services,All Day Conveyancing,-38.157522,145.1982,"1 Emerald Ct, Langwarrin VIC 3910",0418 547 179
59,Langwarrin ,Legal Services,Saker Conveyancing,-38.146443,145.1914,"54 Pindara Blvd, Langwarrin VIC 3910",(03) 8790 0270
60,Langwarrin ,Legal Services,Victoria Legal Aid,-38.138917,145.1274,"34 Dandenong Rd W, Frankston VIC 3199",(03) 9784 5222
61,Mooroolbark,Legal Services,Beaumont Lawyers,-37.785314899999996,145.3124,"34 Brice Ave, Mooroolbark VIC 3138",(03) 9726 9822
62,Mooroolbark,Legal Services,Yarra Ranges Lawyers,-37.7837042,145.3124,"16 Winyard Dr, Mooroolbark VIC 3138",(03) 9727 4055
63,Mooroolbark,Legal Services,GLN Conveyancing Services,-37.7854619,145.3161,"11/91 Brice Ave, Mooroolbark VIC 3138",(03) 9726 5666
64,Mooroolbark,Legal Services,Wright Conveyancing Service,-37.768184999999995,145.3261,"77 Landscape Dr, Mooroolbark VIC 3138",(03) 9727 1112
65,Mooroolbark,Solicitor,Conveyancing Linque,-37.782073,145.3052,"52 Diane Cres, Croydon VIC 3136",(03) 9733 4233
66,Mooroolbark,Legal Services,SF Conveyancing,-37.7837477,145.3126,"20 Winyard Dr, Mooroolbark VIC 3138",0402 606 298
67,Sunbury,Legal Services,McClure Law,-37.576589,144.7277,"8 Horne St, Sunbury VIC 3429",(03) 9744 1881
68,Sunbury,Legal Services,G&G Legal,-37.577114,144.7274,"14 Horne St, Sunbury VIC 3429",(03) 9744 2688
69,Sunbury,Legal Services,E.C. Conveyancing,-37.5814805,144.7254,"57/59 Horne St, Sunbury VIC 3429",(03) 9740 8560
70,Sunbury,Legal Services,Kavanagh Lawyers,-37.5796877,144.7307,"22 Oshanassy St, Sunbury VIC 3429",(03) 9744 2911
71,Sunbury,Legal Services,Wilkinson Lawyers,-37.58031079999999,144.7293,"1/69-71 Evans St, Sunbury VIC 3429",0468 364 121
72,Sunbury,Legal Services,Knight & Associates,-37.5802854,144.7292,"69 Evans St, Sunbury VIC 3429",(03) 9740 4442
73,Sunbury,Legal Services,McNab McNab & Starke Lawyers,-37.5827401,144.7283,"30 Station St, Sunbury VIC 3429",(03) 9744 2666
74,Malvern - Glen Iris,Legal Services,"Hartwell Legal - Incapacity, Wills & Estates Experts",-37.845027,145.0384,"8/1 Milton Parade, Malvern VIC 3144",0413 181 545
75,Malvern - Glen Iris,Legal Services,Testart Family Lawyers,-37.8459492,145.039,"23 Milton Parade, Malvern VIC 3144",(03) 9854 6212
76,Malvern - Glen Iris,Legal Services,Peter Speakman & Co Pty Lawyers,-37.85350579999999,145.0427,"2/1396 Malvern Rd, Glen Iris VIC 3146",(03) 9822 8611
77,Malvern - Glen Iris,Legal Services,Global Brand Protection,-37.853274,145.0439,"1/1489 Malvern Rd, Glen Iris VIC 3146",(03) 9822 2889
78,Malvern - Glen Iris,Legal Services,Bartram Lawyers,-37.863644,145.0503,"1/173 Burke Rd, Glen Iris VIC 3146",(03) 9885 9375
79,Malvern - Glen Iris,Legal Services,John Bennison,-37.869053,145.0389,"43 Tooronga Rd, Malvern East VIC 3145",(03) 9571 5000
80,Malvern - Glen Iris,Legal Services,Moyle Legal,-37.86684,145.0307,"91 Station St, Malvern VIC 3144",(03) 9509 9360
81,Malvern - Glen Iris,Legal Services,Burke Family Law,-37.8656312,145.0294,"53 Station St, Malvern VIC 3144",0419 550 586
82,Malvern - Glen Iris,Legal Services,Lopes Family Law,-37.86060820000001,145.0288,"1/52 Glenferrie Rd, Malvern VIC 3144",(03) 9500 2299
83,Malvern - Glen Iris,Legal Services,Held Lawyers - Malvern,-37.8598352,145.029,"Level 1/180-182 Glenferrie Rd, Malvern VIC 3144",(03) 9509 0710
84,Malvern - Glen Iris,Legal Services,Stuart Morgan & Associates,-37.858312700000006,145.0292,"238 Glenferrie Rd, Malvern VIC 3144",(03) 9576 2300
85,Tarneit,Legal Services,Sai Migration Consultants,-37.8341731,144.6622,"21 Barrangi Dr, Tarneit VIC 3029",0425 426 849
86,Tarneit,Legal Services,Star Migration Services,-37.8554179,144.6496,"21 Stanhope Rd, Tarneit VIC 3029",0403 608 872
87,Tarneit,Legal Services,Computing & Legal Services Pty Ltd,-37.863655,144.6689,"31 Medina Dr, Hoppers Crossing VIC 3029",(03) 8742 2525
88,Tarneit,Legal Services,Safra Conveyancing,-37.845788299999995,144.6815,"10 Laurina Ave, Tarneit VIC 3029",0401 166 485
0,Rosebud - McCrae,,Peninsula Community Legal Centre Inc.,-38.359508399999996,144.8921111,,
1,Rosebud - McCrae,,Mornington Peninsula Legal Service Pty Ltd,-38.3541488,144.91239109999998,,
2,,,Corrective Legal Services & Associates ®,-38.275477200000005,144.611432,,
3,Point Nepean,,Mccarthy Partners,-38.371279,144.82718799999998,,
4,Point Nepean,,Moreheads Lawyers,-38.320619,144.714653,,
5,Fitzroy,,Fitzroy Legal Service,-37.8019104,144.97954130000002,,
6,Frankston,,Victoria Legal Aid,-38.13895430000001,145.12744019999997,,
7,Springvale,,Springvale Monash Legal Service Inc.,-37.9463917,145.14875880000002,,
9,,,Victoria Legal Aid,-38.150542,144.359599,,
10,Point Nepean,,Woodhams O'Keeffe & Co,-38.339513399999994,144.73765469999998,,
11,,,Barwon Community Legal Service,-38.17452,144.342224,,
12,Rosebud - McCrae,,McGuinness Legal,-38.356920200000005,144.9031064,,
13,Bentleigh East,,Peninsula Community Legal Centre,-37.9293821,145.06656619999998,,
14,Rosebud - McCrae,,Sam Kelly's Conveyancing,-38.375391799999996,144.8729154,,
15,Clayton,,Monash Law Clinics - Clayton,-37.912265000000005,145.12809199999998,,
16,Melbourne,,Victoria Legal Aid,-37.8155055,144.9567621,,
17,Melbourne,,Women's Legal Service Victoria,-37.812540000000006,144.95634990000002,,
18,Dandenong,,Victoria Legal Aid,-37.9877663,145.2114743,,
19,,,Coulter Roache,-38.2816416,144.4919278,,
20,Sunshine North,,Sunshine Legal Aid,-37.776661600000004,144.83161719999998,,
21,Port Melbourne,,Southport Community Legal Service.,-37.8379471,144.94157019999997,,
22,Ascot Vale,,Moonee Valley Legal Service,-37.77945,144.919296,,
23,Dandenong,,Southport Community Legal Service,-37.996887,145.22780369999998,,
24,Rosebud - McCrae,,Prudent Legal,-38.356598999999996,144.90381100000002,,
25,Broadmeadows,,Victoria Legal Aid,-37.682742499999996,144.9194211,,
26,Rosebud - McCrae,,White Cleland,-38.35686099999999,144.904824,,
27,Albert Park,,SKB Legal Services,-37.837625200000005,144.9755031,,
28,Rosebud - McCrae,,Port Phillip Conveyancing - Rosebud Branch,-38.356513899999996,144.9063895,,
29,,,Coulter Roache,-38.3318626,144.3243888,,
30,Melbourne,,Federation of Community Legal Centres (Vic) Inc.,-37.813463,144.96707769999998,,
31,,,Greater Geelong Legal,-38.1499984,144.35517040000002,,
32,Bentleigh - McKinnon,,Anuja Baker Legal Services,-37.91463299999999,145.045371,,
33,,,Cahill & Rowe Family Law,-38.135475899999996,144.3491089,,
34,Mornington,,Mornington Legal,-38.227094,145.043746,,
35,Mordialloc - Parkdale,,Marsh & Maher Richmond Bennison,-38.0064381,145.0867392,,
36,Mornington,,Lawyers By The Bay,-38.21760940000001,145.0380118,,
37,St Kilda East,,Guardianship & Admin Legal Services,-37.869563,144.99604,,
38,,,Coulter Roache,-38.149971,144.36314299999998,,
39,St Kilda,,LegalVision,-37.856927,144.989256,,
40,South Melbourne,,Kenna Law Collaborative Legal Services,-37.831810600000004,144.9574006,,
41,Sunshine,,Maurice Blackburn Lawyers Sunshine,-37.780132,144.82900800000002,,
42,Melbourne,,Richmond & Bennison Lawyers,-37.814844,144.959936,,
43,,,Harwood Andrews,-38.1494429,144.3566303,,
44,Frankston,,Justice Crew Legal Services,-38.144483,145.124248,,
45,Bentleigh - McKinnon,,Hayton Kosky Lawyers,-37.917983,145.0325689,,
46,Frankston,,White Cleland,-38.14315,145.120508,,
47,Dromana,,ALL State Conveyancing Services,-38.332556700000005,144.9678854,,
48,Altona North,,Medina Financial & Para-Legal Services,-37.8374331,144.863101,,
49,,,KG Lawyers,-38.171927000000004,144.570881,,
50,Frankston,,Hayes & Associates,-38.13395999999999,145.123884,,
51,,,Peter Boyle Barrister & Solicitor,-38.2799533,144.608351,,
52,Frankston,,Denise Dwyer Lawyers,-38.137547999999995,145.1240054,,
53,,,Crawford & Company,-38.155695,144.36223600000002,,
54,,,Bay City Conveyancing & Legal,-38.150715500000004,144.3580657,,
55,,,Mann Legal - Geelong,-38.150564,144.35536499999998,,
56,,,John G O'Halloran Solicitor & Lawyer,-38.26985,144.5275189,,
57,Mornington,,By the Bay Legal & Conveyancing,-38.22611679999999,145.0430693,,
58,Mornington,,HDL Legal & Consulting Pty Ltd,-38.226509,145.0424041,,
59,Mornington,,Urban Law Group,-38.2228385,145.04112519999998,,
62,Preston,,Aboriginal Legal Service Co-Operative Ltd,-37.743773299999994,145.00283430000002,,
65,Collingwood,,Refugee & Immigration Legal Centre Inc.,-37.8003364,144.98558219999998,,
66,Melbourne,,Legal Services Board,-37.8160035,144.9577457,,
67,Heidelberg West,,West Heidelberg Community Legal Service,-37.7397352,145.0405152,,
69,Kensington,,Flemington & Kensington Community Legal Centre,-37.7891389,144.9287112,,
70,Melbourne,,St James Legal Services,-37.81674279999999,144.96143419999999,,
72,North Melbourne,,Inner Melbourne Community Legal,-37.802929,144.950407,,
73,Essendon - Aberfeldie,,Prompt Legal Services,-37.739025,144.89646299999998,,
75,Abbotsford,,Djirra,-37.797588,144.9938631,,
76,Melbourne,,Dixon Legal Services,-37.8171434,144.9603763,,
77,Melbourne,,Inner City Legal Services Pty Ltd,-37.814679999999996,144.960224,,
78,Melbourne,,Victorian Legal Services Commissioner,-37.816157200000006,144.95720880000002,,
79,Melbourne,,AED Legal Centre,-37.817811600000006,144.9651461,,
81,Melbourne,,Consumer Action Law Centre,-37.814339000000004,144.960224,,
83,Melbourne,,Disability Discrimination Legal Service,-37.8150076,144.9553884,,
84,Carlton North - Princes Hill,,Lygon Street Legal Services,-37.7825719,144.9697534,,
85,Melbourne,,Law Image Melbourne | Legal document production & Managed services,-37.8150532,144.95920569999998,,
86,Melbourne,,Rogers Legal Service,-37.8146416,144.9603247,,
87,Melbourne,,GMS Legal Service Agency,-37.8151277,144.961052,,
88,Heidelberg - Rosanna,,JPLegal,-37.756146,145.06699,,
89,Ivanhoe,,DLT Legal,-37.7754391,145.039228,,
91,Melbourne,,ADC Legal Litigation Lawyers,-37.8158099,144.96648100000002,,
92,Melbourne,,First Legal & Migration Services Pty Ltd,-37.8137451,144.96047030000003,,
93,Collingwood,,Persuit Legal Outsourcing Melbourne HQ- Pursuit Legal,-37.804334999999995,144.98578600000002,,
94,Melbourne,,AHL Legal AHL法律,-37.8163932,144.95713930000002,,
95,Melbourne,,SM Legal,-37.8160774,144.9584934,,
96,Reservoir,,Darebin Community Legal Centre,-37.716671000000005,145.00626200000002,,
97,Melbourne,,Lloyd Meridian Legal,-37.8165501,144.96383980000002,,
98,Balwyn,,Primon Legal,-37.8132256,145.08264169999998,,
99,Moonee Ponds,,MNG Lawyers,-37.770585,144.926455,,
100,Melbourne,,Hendersons Legal,-37.816846000000005,144.957349,,
102,Melbourne,,MyVisa Australia,-37.814178000000005,144.972777,,
103,Melbourne,,Warlows Legal Melbourne,-37.8107524,144.95834419999997,,
104,Melbourne,,Nevile & Co. Commercial Lawyers,-37.814235,144.970016,,
105,Melbourne,,First Legal & Migration Services Pty Ltd,-37.81354049999999,144.9604625,,
107,South Yarra,,"Michael T Helman Lawyers - Family Law, Legal Services",-37.838628,144.996137,,
108,Melbourne,,Epiq,-37.8140345,144.9605991,,
109,Heidelberg - Rosanna,,Fin Law Legal Services,-37.736391999999995,145.06968799999999,,
110,Footscray,,Nzenza Legal and Migration Services,-37.7988161,144.9013918,,
111,Melbourne,,Justice Connect,-37.8152823,144.96011930000003,,
112,Melbourne,,Law Aid,-37.814275099999996,144.95706,,
113,South Melbourne,,Workplace Legal Pty Ltd,-37.835139500000004,144.97051969999998,,
114,Melbourne,,Herbert Smith Freehills (Melbourne),-37.814518,144.970355,,
115,Port Melbourne,,Behan Legal,-37.837896,144.943365,,
116,Carlton,,Visa Law Immigration Lawyers,-37.799783399999995,144.967794,,
117,Hawthorn East,,Rennick & Gaynor Solicitors,-37.830937799999994,145.05407150000002,,
118,Albert Park,,Avenue Solutions,-37.839729999999996,144.97601,,
136,Sunshine,,Sunshine Youth Legal Centre,-37.7816573,144.83085590000002,,
153,Pascoe Vale,,Herm Legal & Migration Services,-37.7172429,144.9216678,,
154,Melbourne,,Notary Services Australia,-37.8159854,144.957957,,
169,Preston,,BTT LAWYERS,-37.7405134,145.0038987,,
171,Reservoir,,Novatsis & Alexander Solicitors,-37.717038,145.008015,,
219,Brunswick,,De Marchi and Associates,-37.768217,144.961636,,
227,Brighton,,Buchanan Legal Services Pty Ltd,-37.905521,145.00134599999998,,
285,Melbourne,,Eales & Mackenzie Lawyers,-37.817559,144.9615321,,
289,Melbourne,,Nicholas O'Donohue & Co,-37.8157698,144.9587559,,
291,Melbourne,,Legally Yours,-37.817067,144.959725,,
293,Melbourne,,Barristers Clerking Services PTY Ltd.,-37.814263399999994,144.9571557,,
302,St Albans,,Lanham Lawyers,-37.743767999999996,144.798233,,
385,Melbourne,,Simon Legal,-37.8135355,144.9604438,,
438,Melbourne,,Horizon Lex | Business + Law,-37.8162335,144.9609575,,
439,Melbourne,,SP Legal,-37.81688,144.957092,,
461,Melbourne,,FAL Lawyers,-37.81635429999999,144.95890480000003,,
472,St Albans,,Brimbank Melton Community Legal Centre,-37.743613,144.79691100000002,,
478,Carlton,,Office of the Public Advocate,-37.8021777,144.9671638,,
541,Laverton,,Nanscawen Lawyers,-37.86832570000001,144.7610435,,
547,Sunshine,,Daniel Lawyers & Associates (incorporating Patrick Cash & Associates),-37.786159000000005,144.833127,,
552,Hoppers Crossing,,Computing & Legal Services Pty Ltd,-37.863664,144.668702,,
553,Point Cook,,Campus Lawyers & Associates,-37.8956776,144.752622,,
554,Point Cook,,Parkside Conveyancing Services,-37.8992859,144.73951359999998,,
556,Footscray,,Norton Legal,-37.8105773,144.89919980000002,,
565,Werribee,,WEstjustice,-37.900232,144.662484,,
567,Point Cook,,Ammanah Legal,-37.872657399999994,144.7453277,,
568,Sunshine,,Ferraro & Co Pty Ltd,-37.787629200000005,144.8304051,,
569,Point Cook,,Joshi Lawyers,-37.871534000000004,144.74740500000001,,
577,Altona,,Altona Legal,-37.867543,144.8292861,,
594,Melbourne,,AR LAW Services: Master Migration & Visa Lawyers,-37.818081,144.964621,,
595,North Melbourne,,First Nations Legal & Research Services,-37.8045017,144.951122,,
597,Melbourne,,Norton Rose Fulbright,-37.815887200000006,144.95959309999998,,
598,Melbourne,,Blackstone Legal Costing,-37.8126935,144.956645,,
599,Melbourne,,Velocity Legal,-37.8108817,144.9620182,,
622,Caroline Springs,,Lily Safarewicz Family Lawyers,-37.7342035,144.7416579,,
624,Caroline Springs,,Calder Conveyancing Pty Ltd,-37.729803600000004,144.7420291,,
630,Moonee Ponds,,Maitland-Smith & Associates,-37.767777,144.923364,,
632,Caroline Springs,,Lake Street Lawyers,-37.729813,144.7421067,,
634,Moonee Ponds,,Hartleys Lawyers,-37.76583979999999,144.921883,,
635,Essendon - Aberfeldie,,Graham Legal,-37.746019,144.91068869999998,,
637,Essendon - Aberfeldie,,Anderson Law Legal Practitioners,-37.743798999999996,144.909242,,
639,Newport,,Hartleys Lawyers,-37.84193399999999,144.879657,,
640,Footscray,,Practical Legal Solutions,-37.806627,144.906183,,
643,Gladstone Park - Westmeadows,,Cassar & Ryan Conveyancing Pty Ltd,-37.687298,144.888832,,
646,Taylors Lakes,,Brimbank Conveyancing Services PTY Ltd.,-37.70247,144.786194,,
654,St Albans,,Hughes Watson Marks Kennedy Lawyers,-37.744576,144.800681,,
659,Keilor,,Eugene Naidoo & Associates,-37.711667,144.810767,,
663,Niddrie,,Milicevic Lawyers,-37.737027000000005,144.892224,,
678,Point Cook,,West Lawyers,-37.883349200000005,144.7359529,,
689,Ascot Vale,,Safe from Harm,-37.7794958,144.9194636,,
699,Glenroy,,Buller Mcleod PTY,-37.704227,144.9162178,,
705,Greenvale - Bulla,,Paramount Conveyancing Practice,-37.6393826,144.8820468,,
706,Sunshine,,Hartleys Lawyers,-37.778175899999994,144.8361604,,
707,Yarraville,,IPT Law - Surrogacy & ART Legal Advice,-37.8166569,144.8893112,,
708,Maribyrnong,,Chircop Legal,-37.7836195,144.89178330000001,,
711,Sunshine,,Doogue + George Criminal Lawyers Sunshine,-37.78820049999999,144.829893,,
712,St Albans,,Griffin Law Firm,-37.7440588,144.7974499,,
713,Gladstone Park - Westmeadows,,Ford Legal,-37.68821399999999,144.884954,,
714,Braybrook,,Law Partners - Personal Injury Lawyers Maidstone,-37.7787094,144.8763725,,
715,St Albans,,Monica Shamon Lawyers,-37.7423695,144.8005856,,
716,Gladstone Park - Westmeadows,,Gladstone Park Conveyancing,-37.688557,144.883216,,
717,Niddrie,,State Claims,-37.735676,144.88894409999997,,
718,Taylors Hill,,Better Place Australia Caroline Springs,-37.7111395,144.738443,,
719,Keilor,,Rodriguez Family Lawyers,-37.7187721,144.8357197,,
721,Niddrie,,Conveyancing Melbourne Suburbs,-37.736925,144.89231,,
722,Sunshine,,Devonshire Conveyancing,-37.785012200000004,144.8324907,,
727,Strathmore,,MACLEGAL (incorporating MCF Lawyers),-37.737604,144.906375,,
729,Essendon - Aberfeldie,,McNab McNab & Starke Lawyers,-37.744265999999996,144.909092,,
730,Essendon - Aberfeldie,,Wills At Your Home Wills Essendon,-37.753125,144.909545,,
751,Essendon - Aberfeldie,,Hughes Legal,-37.738526,144.89482900000002,,
755,Essendon - Aberfeldie,,Robert M Phelan & Co,-37.755911,144.911378,,
769,Taylors Lakes,,Aberdeen Lawyers,-37.694461,144.781703,,
828,Sunshine,,Andrew George Solicitors,-37.785687,144.832479,,
829,Sunshine,,Shine Lawyers,-37.785414,144.832861,,
831,Sunshine,,Sunshine Family Relationship Centre,-37.7866058,144.83264269999998,,
832,Deer Park - Derrimut,,AAAA Low Cost Conveyancing,-37.770536,144.773495,,
835,Deer Park - Derrimut,,Angelowitsch & Associates,-37.770470399999994,144.7745198,,
837,St Albans,,St Albans Conveyancing,-37.737452000000005,144.81376,,
838,Keilor East,,Essendon & Suburbs Conveyancing Services,-37.742655,144.861972,,
839,St Albans,,KPT Conveyancing Services,-37.745067999999996,144.80935209999998,,
876,Newport,,Viclaw Lawyers,-37.840877500000005,144.88268469999997,,
896,Melton,,Brimbank Melton Community Legal Centre,-37.6849219,144.58204819999997,,
900,Keilor East,,MMH Lawyers,-37.7689961,144.8645937,,
913,Sunshine,,Slater and Gordon Lawyers,-37.7861524,144.83303490000003,,
954,Sunshine North,,M&M Services Pty Ltd,-37.7733886,144.8294895,,
955,Sunshine,,Marcou & Associates Lawyers,-37.785607,144.831645,,
957,Keilor Downs,,faid Conveyancing Services,-37.739483,144.8242595,,
959,St Albans,,Agricola Wunderlich & Associates,-37.7434494,144.8004813,,
1021,Tarneit,,Star Migration Services,-37.8554179,144.6496419,,
1024,Werribee,,Tony Hannebery Lawyers,-37.9029624,144.66345969999998,,
1027,Werribee,,Arnold Thomas Becker Werribee Office,-37.901162,144.661235,,
1028,Truganina,,Johnston Construction Lawyers,-37.857795,144.734294,,
1029,Werribee,,Perfect Conveyancing,-37.9024631,144.66119740000002,,
1031,Hoppers Crossing,,Thelma Palbas & Associates,-37.87970869999999,144.703947,,
1037,Werribee,,Callea Pearce Lawyers,-37.90112620000001,144.6619605,,
1038,Werribee,,Slater and Gordon Lawyers,-37.9031428,144.65772719999998,,
1039,Werribee,,Your Solicitor,-37.872214,144.66153300000002,,
1040,Point Cook,,Law Partners - Personal Injury Lawyers Point Cook,-37.8836122,144.7351052,,
1041,Werribee,,Amato Emanuel & Sons Process Service Agency,-37.90916,144.67345600000002,,
1042,Wyndham Vale,,FMC Mediation and Counselling Wyndham Vale,-37.871673,144.6131763,,
1044,Werribee,,De Marco Lawyers,-37.899829,144.661708,,
1047,Hoppers Crossing,,LifeWorks Relationship Counselling and Education Services,-37.870649,144.68348799999998,,
