,Suburb,Business.Type,Name.of.Business,Latitude,Longitude,Address,Phone.Number
1051,Werribee,,Ryan Carlisle Thomas Lawyers,-37.901548999999996,144.661785,,
1052,Werribee,,Migration Worldwide - Werribee,-37.9013924,144.66313259999998,,
1053,Point Cook,,Hegedich & De Crescenzo Lawyers,-37.8827188,144.73551930000002,,
1056,Werribee,,Low Cost Conveyancing Services,-37.8773449,144.67768130000002,,
1057,Point Cook,,REALCHOICE CONVEYANCING SERVICES,-37.8921699,144.7229929,,
1058,Werribee,,Le Brun & Associates Law Firm - Solicitors and Divorce Lawyers,-37.902705700000006,144.6594239,,
1060,Melbourne,,Spagnol Legal,-37.816909,144.957245,,
1067,Melbourne,,Stesin Legal,-37.815724200000005,144.9627614,,
1075,Melbourne,,Immigration Agents Melbourne Free Advice - Graham Slater York Lawyers,-37.8158909,144.9588604,,
1079,Melbourne,,DWF (Australia),-37.815936,144.955989,,
1089,Melbourne,,Sierra Corporate Pty Ltd,-37.817305,144.959444,,
1093,Melbourne,,Noble Lawyers,-37.81450039999999,144.96003090000002,,
1112,Williamstown,,Berry Family Law,-37.857915000000006,144.891907,,
1115,Werribee,,Twigg Family Law,-37.9003729,144.6623729,,
1116,Maribyrnong,,McManus & Co Lawyers,-37.78362,144.89177800000002,,
1118,Point Cook,,Glaister Legal - Solicitors and Advisors,-37.9099987,144.7785496,,
1119,Newport,,LP Family Law,-37.829802,144.8817381,,
1142,Werribee,,Purcell & Purcell,-37.899877000000004,144.662946,,
1147,Werribee,,Western Legal & Conveyancing,-37.9013619,144.66301930000003,,
1163,Werribee,,SMP Legal,-37.899828899999996,144.661708,,
1164,Werribee,,Stary Norton Halphen Criminal Lawyers,-37.901385999999995,144.6621551,,
1192,Newport,,Newport Lawyers 2 U,-37.844225,144.86876,,
1195,Point Cook,,"Oceania Immigration - Hoppers Crossing, Point Cook, Tarneit, Werribee and Wyndham Vale",-37.9178086,144.7477259,,
1196,Altona,,Mason Worth - Law & Conveyancing,-37.8686643,144.8302724,,
1199,Altona,,House & Land Conveyancing Services,-37.86965199999999,144.82847719999998,,
1209,Werribee,,Mantello Lawyers,-37.89955629999999,144.66422649999998,,
1229,Point Cook,,Safra Conveyancing - Fixed Price & Low Cost Services,-37.906110999999996,144.74463909999997,,
1231,Point Cook,,Sanctuary Lakes Resort Services Ltd,-37.896280100000006,144.76163200000002,,
1232,Altona,,Peter W Johnson,-37.869933,144.811283,,
1241,Werribee,,Coolabah Law Chambers,-37.891669,144.656572,,
1280,St Albans,,Bogunovic Lawyers,-37.742545,144.801265,,
1328,Werribee,,Rigoli Lawyers,-37.9029701,144.65795590000002,,
1634,Meadow Heights,,Meadow Heights Conveyancing Services,-37.641145,144.913285,,
1657,Glenroy,,Melbourne Injury Lawyers,-37.706233399999995,144.91683899999998,,
1713,Sunbury,,McClure Law,-37.576590100000004,144.7276664,,
1718,Hillside,,AA Conveyancing Services,-37.703103000000006,144.746668,,
1768,Sunbury,,McNab McNab & Starke Lawyers,-37.5827594,144.728336,,
1872,Craigieburn,,G&G Legal,-37.598017299999995,144.94053069999998,,
2020,Yarra,,Sinclair + May,-37.788777,144.991494,,
2025,Coburg,,MLG Lawyers - Melbourne Legal Group,-37.7514415,144.9650354,,
2026,Thornbury,,Phoenix Legal Solutions,-37.7618714,144.9997719,,
2029,Brunswick,,Russo and Russo,-37.7743787,144.9610034,,
2031,Northcote,,Northcote Lawyers & Associates,-37.7792909,144.99720269999997,,
2035,Northcote,,Northcote Lawyers & Associates,-37.768142,144.991121,,
2039,Coburg,,Brunswick Lawyers,-37.74547099999999,144.96608600000002,,
2068,Craigieburn,,Atlas Legal,-37.590880600000006,144.9173717,,
2070,Preston,,Elamine Lawyers,-37.7468901,145.0083062,,
2095,Moonee Ponds,,Le Brun Lawyers Moonee Ponds,-37.7719674,144.9263858,,
2099,Coburg,,Go To Court Lawyers,-37.74871419999999,144.96553380000003,,
2110,Reservoir,,Natoli Howell,-37.715534999999996,145.006418,,
2151,Thomastown,,Rangi Lawyers,-37.680876,145.013518,,
2152,Campbellfield - Coolaroo,,Zeno Lawyers,-37.666742299999996,144.9478139,,
2157,Coburg,,Lynette Smyth,-37.745827,144.977815,,
2159,Preston,,TBA Law Preston,-37.729332,144.991331,,
2268,Glenroy,,Ryan Carlisle Thomas Lawyers,-37.7049678,144.918015,,
2271,Roxburgh Park - Somerton,,Zora Law,-37.6371631,144.93392450000002,,
2274,Essendon - Aberfeldie,,NANSCAWEN LAWYERS,-37.75554,144.91980700000002,,
2275,Glenroy,,Pearsons Lawyers,-37.706757,144.9165696,,
2277,Craigieburn,,Allskills Recruitment & Migration Services,-37.5895516,144.8946771,,
2278,Essendon - Aberfeldie,,Nicholas James Lawyers,-37.755848,144.918686,,
2288,Craigieburn,,Atlas Legal,-37.5908727,144.9173716,,
2314,Preston,,James McDermott Family Law Accredited Specialist,-37.7451034,145.00116519999997,,
2351,Heidelberg West,,Chester Metcalfe & Co,-37.749458399999995,145.0429399,,
2386,Epping,,Waters & Co. Lawyers,-37.649981,145.025295,,
2397,Preston,,Kerdo Legal,-37.7467532,145.0081639,,
2422,Craigieburn,,Maurice Blackburn Lawyers,-37.594567100000006,144.91423799999998,,
2425,Taylors Lakes,,MS Justice Legal,-37.702121000000005,144.800587,,
2428,Epping,,Ryan Carlisle Thomas Lawyers,-37.644417,145.02590990000002,,
2430,Preston,,Australian Real Estate Conveyancing Services,-37.738685100000005,145.0046215,,
2435,Epping,,Slater and Gordon Lawyers,-37.659182,145.020139,,
2436,Lalor,,Collards Barristers & Solicitors,-37.673596,145.01626399999998,,
2437,Ringwood,,Victoria Legal Aid Ringwood,-37.8138314,145.2272518,,
2438,Lalor,,Abundant Conveyancing Services,-37.672518,145.017819,,
2439,Craigieburn,,PMP Conveyancing Services,-37.5717139,144.9132006,,
2454,Epping,,Adviceline Injury Lawyers,-37.653731,145.020175,,
2458,Lalor,,Costanzo Lawyers,-37.672336,145.016375,,
2470,Caulfield,,Goldberg Family Law Mediation,-37.8726859,145.0225976,,
2482,Mount Waverley,,Express & Co Lawyers,-37.900588799999994,145.1415056,,
2488,Malvern - Glen Iris,,Testart Family Lawyers,-37.8459492,145.0389885,,
2492,Clayton,,MOLS,-37.9096739,145.1282565,,
2494,Hughesdale,,Migration Law Matters,-37.9091189,145.084814,,
2499,Prahran - Windsor,,Luscombe Immigration Law Services,-37.8540304,144.99048630000001,,
2718,Richmond,,Hammersmith Lawyers,-37.818713,145.002746,,
2719,Heidelberg - Rosanna,,DWF Adjusting (Australia) Pty Ltd,-37.7569429,145.0697727,,
2754,Kew,,Resolution Legal Melbourne,-37.8086,145.027509,,
2789,Glenroy,,Ozer Lawyers,-37.705039500000005,144.915421,,
2795,Hadfield,,Fast Process Service,-37.710999,144.95146599999998,,
2799,Pascoe Vale,,Sarah Jefford - Family & Surrogacy Lawyer,-37.732494,144.9473782,,
2862,Mill Park,,ANTHONYS SOLICITORS,-37.66767279999999,145.0617948,,
2870,Bundoora,,Callahans Lawyers,-37.6944295,145.0600647,,
2874,Thomastown,,Aussizz Migration Agents & Education Consultants in Thomastown - Aussizz Group,-37.6799939,145.01369499999998,,
2875,Broadmeadows,,George Douglas & Co Pty,-37.682698200000004,144.91461809999998,,
2878,Tullamarine,,Gladstone Process Service & Enquiry Agents,-37.70074,144.882613,,
2879,Craigieburn,,Northern Conveyancing Services,-37.572395,144.91229099999998,,
2903,Craigieburn,,VT Conveyancing,-37.57192910000001,144.9179324,,
2905,Thomastown,,John Dellios & Associates,-37.680881,145.013307,,
2908,Craigieburn,,"Brilliant Migration Club Pty LTD - Migration & Student Visa Consultant in Craigieburn, Melbourne.",-37.60318700000001,144.931218,,
2909,Thomastown,,Vantage Bay Conveyancing & Financial Services,-37.680549,145.01339099999998,,
2910,Craigieburn,,Satluj Immigration Consultancy Services Pty Ltd,-37.605789,144.919759,,
2914,Lalor,,Leading Conveyancing,-37.66523970000001,144.98560319999999,,
2916,Epping,,Shine Lawyers,-37.6517923,145.0186358,,
2919,Craigieburn,,Arnold Thomas & Becker Lawyers,-37.59863620000001,144.93916819999998,,
2936,Lalor,,Dreadnought Document Service,-37.66975499999999,145.021816,,
2957,Box Hill,,Eastern Community Legal Centre,-37.8196234,145.1269531,,
2958,Gisborne,,ConnectLaw Legal Services,-37.466989,144.60724,,
2959,Gisborne,,Ranges Legal,-37.4865576,144.587486,,
3307,Heidelberg - Rosanna,,Morgan Legal,-37.7562919,145.0692365,,
3309,Ivanhoe East - Eaglemont,,FERDINAND ZITO & ASSOCIATES : LEGAL PRACTITIONERS,-37.772563899999994,145.0592649,,
3311,Heidelberg - Rosanna,,Boutique Legal Pty Ltd,-37.743649600000005,145.0660878,,
3312,Ivanhoe East - Eaglemont,,Crea Legal,-37.763553,145.054317,,
3313,Kew,,MH Legal Advisors,-37.801312,145.030748,,
3314,North Melbourne,,Newland Migration,-37.8059071,144.9549399,,
3318,Doncaster,,COOPER AND SANDERS LEGAL,-37.7833195,145.10278459999998,,
3319,Greensborough,,First Class Legal,-37.7041974,145.1013346,,
3327,Balwyn North,,Patten Robins Lawyers,-37.79275379999999,145.07067849999999,,
3335,Balwyn North,,GSSR Legal,-37.792465500000006,145.06892480000002,,
3343,Greensborough,,Charles Tinney & Associates,-37.701302,145.106701,,
3354,Ivanhoe,,Adams Maguire Sier,-37.768004499999996,145.0435261,,
3356,Bundoora,,Rick Norwood Legal,-37.69756599999999,145.0782428,,
3358,Greensborough,,Greensborough Family Relationship Centre,-37.7046323,145.10218940000001,,
3373,Greensborough,,David Stagg Tonkin & Co Barristers & Solicitors,-37.7044506,145.10629680000002,,
3392,Preston,,James McDermott & Associates,-37.7438474,145.0032445,,
3398,Coburg,,Haitch Legal,-37.7432804,144.9658064,,
3419,Preston,,Empire Migration Consultants,-37.7469884,145.00826740000002,,
3424,Mill Park,,"HDH Legal - Conveyancing, Leases and Businesses",-37.651849600000006,145.08537130000002,,
3432,Mill Park,,Law Partners - Personal Injury Lawyers South Morang,-37.6517556,145.0859519,,
3436,Bundoora,,M&M Conveyancing Services Pty Ltd,-37.701187,145.065452,,
3459,Montmorency - Briar Hill,,RF LEGAL,-37.716678,145.120867,,
3489,Doncaster East,,Plaza Legal,-37.7867889,145.1443952,,
3631,Bundoora,,ML Law Hub,-37.6797198,145.07144480000002,,
3651,Ivanhoe,,Rush & Failla,-37.7682873,145.0425764,,
3658,Heidelberg - Rosanna,,Doogue + George Criminal Lawyers Heidelberg,-37.7561467,145.0670049,,
3691,Templestowe,,Stern Legal​,-37.7567961,145.1301551,,
3697,Alphington - Fairfield,,Dellios West & Co,-37.777159000000005,145.018784,,
3781,Hawthorn,,Chase Legal,-37.813649700000006,145.02337250000002,,
3792,Hawthorn,,GDM Legal & Conveyancing,-37.827302,145.03468,,
3803,Mitcham,,Corvus Group Australia,-37.8126224,145.2022354,,
3804,Richmond,,Easy Name Change,-37.828519,145.008959,,
3831,Balwyn North,,PFJS Lawyers,-37.800471,145.0980381,,
3875,Donvale - Park Orchards,,Victorian Legal Solutions Pty Ltd,-37.7967126,145.1797823,,
3879,Northcote,,VM Family Lawyers,-37.7709063,144.99886919999997,,
3904,Heidelberg - Rosanna,,McCormack's Legal Practitioners,-37.756605,145.06609509999998,,
3910,Eltham,,Lorraine Jones & Associates,-37.715346999999994,145.14824099999998,,
3912,Boronia,,Eastern Community Legal Centre,-37.861529600000004,145.2888117,,
3914,Heidelberg - Rosanna,,ASAP Lawyers,-37.756677,145.068594,,
3915,Eltham,,Carew Gartlan McClelland,-37.713719,145.149171,,
3943,Greensborough,,Ryan Mackey & McClelland,-37.702942,145.104494,,
3950,Doncaster,,Rodda Legal,-37.7854657,145.12621940000002,,
3951,Bulleen,,Petra Legal,-37.769428399999995,145.0962639,,
3953,Ivanhoe,,Templer Legal,-37.768757,145.043949,,
3954,Wattle Glen - Diamond Creek,,Ian Robertson Legal & Conveyancing,-37.669182,145.154987,,
3964,Box Hill North,,In House Property Conveyancing,-37.8020344,145.1120146,,
3965,Wattle Glen - Diamond Creek,,De Kever Spaulding Lawyers,-37.6691824,145.1549866,,
3975,Box Hill,,Lilliputian PTY Ltd.,-37.8208876,145.1235581,,
3980,Greensborough,,Burns & Tinney,-37.701305,145.106762,,
3981,Greensborough,,Maurice Blackburn Lawyers Greensborough,-37.704663000000004,145.101986,,
3986,Warrandyte - Wonga Park,,Rush & Hampshire Barristers & Solicitors,-37.7377323,145.2190774,,
3999,Kingsbury,,Doug Parker & Associates Lawyers,-37.712058,145.057198,,
4003,Eltham,,Bruce Arthur And Associates,-37.715515,145.15000600000002,,
4006,Greensborough,,Flitner & Company,-37.703404799999994,145.1039492,,
4007,Montmorency - Briar Hill,,James Partners Lawyers,-37.728464,145.1307514,,
4014,Greensborough,,Flitner TC Solicitors,-37.703332,145.103817,,
4018,Mill Park,,Irvine Lawyers,-37.651767799999995,145.08600969999998,,
4115,Camberwell,,JH Legal,-37.8485369,145.0811239,,
4116,St Kilda,,Franchise Legal,-37.8569291,144.98905390000002,,
4123,Balwyn,,Eastern Bridge,-37.8109178,145.0673236,,
4127,Melbourne,,Gilbert + Tobin,-37.814587,144.970667,,
4131,Wheelers Hill,,Kings Legal Services,-37.89349,145.17613,,
4169,Malvern East,,Boothby & Boothby,-37.875151200000005,145.0422836,,
4200,St Kilda,,MD Processing Service,-37.852749200000005,144.97969780000003,,
4223,Malvern - Glen Iris,,"Hartwell Legal - Incapacity, Wills & Estates Experts",-37.84495,145.038295,,
4231,Ringwood,,EACH,-37.814780999999996,145.22069,,
4235,Hawthorn East,,Barretts Lawyers,-37.844088,145.05406499999998,,
4237,,,Henley Legal Public Notary,-37.85033749999999,145.093374,,
4238,Toorak,,Mathews Family Law & Mediation Specialists,-37.848309,145.00626069999998,,
4239,Box Hill North,,Fraser Barrett Baird Lawyers,-37.807988200000004,145.1405036,,
4266,South Yarra,,CIE Legal,-37.8392402,144.9964685,,
4272,Camberwell,,Phalanx Legal,-37.8455483,145.0543725,,
4313,Caulfield,,Ellinson Legal,-37.866762,145.02635,,
4314,Ringwood,,Paul Vale Criminal Law,-37.8148724,145.2275024,,
4316,Box Hill,,Garry A Nicholson Legal Practitioner,-37.821049,145.12635500000002,,
4319,Ashburton,,TP Legal,-37.860904,145.083211,,
4332,Ringwood,,Aughtersons Solicitors,-37.8131525,145.23382769999998,,
4337,Surrey Hills,,Cfl,-37.815415,145.104605,,
4343,Oakleigh - Huntingdale,,Nicolaides and Associates Law Offices,-37.90051,145.091477,,
4346,Mount Waverley,,ALT - Legal Associates,-37.899242,145.14252,,
4348,Box Hill,,Castle Legal,-37.8207404,145.1229368,,
4349,Box Hill,,Goodman Group Lawyers Box Hill,-37.817454999999995,145.115904,,
4351,Box Hill North,,JOHN O'BRIEN & ASSOCIATES,-37.813318,145.13491000000002,,
4352,Ferntree Gully,,Mountain Gate Legal,-37.8843424,145.2738885,,
4353,Mulgrave,,Bizcom Legal,-37.9267579,145.1762197,,
4354,Nunawading,,Laudamus Lawyers,-37.820931099999996,145.1758007,,
4356,Ringwood,,DeLancey Legal,-37.8112831,145.2266247,,
4358,Box Hill,,Apac Legal,-37.818608000000005,145.122497,,
4361,Mount Waverley,,Dyason Legal,-37.8992266,145.142598,,
4363,Croydon,,Remington Wright & Co,-37.795195,145.28221000000002,,
4365,Hawthorn,,Moores,-37.8206744,145.0223392,,
4366,Doncaster East,,Sally Nicolazzo & Associates,-37.788426,145.14963,,
4367,Ferntree Gully,,Ross Legal Pty Ltd,-37.893606,145.306825,,
4368,Wantirna South,,Metropolitan Solicitors,-37.870397499999996,145.2381249,,
4373,Croydon,,Croydon Conveyancing Services,-37.793858,145.281882,,
4380,Ringwood,,Worrells Solvency & Forensic Accountants,-37.8115342,145.2358039,,
4381,Ringwood,,Michael J Gleeson & Associates,-37.813534000000004,145.226953,,
4383,Croydon,,CCS,-37.793238099999996,145.2823006,,
4385,Ringwood,,YourLawyer Pty Ltd,-37.8145826,145.2202578,,
4386,Donvale - Park Orchards,,Madison Sloan Lawyers,-37.7798064,145.2170613,,
4388,Croydon,,Integra Strata Management,-37.796321999999996,145.281036,,
4389,Ringwood,,TSA Lawyers,-37.820054,145.21371000000002,,
4390,Lilydale - Coldstream,,Goodman Group Lawyers,-37.757992,145.351287,,
4391,Healesville - Yarra Glen,,O'Brien & Black Lawyers,-37.654548,145.514382,,
4392,Ringwood,,Maurice Blackburn Lawyers Ringwood,-37.816854,145.22496,,
4393,Lilydale - Coldstream,,Paul B Connor Solicitor,-37.758041,145.350412,,
4394,Ringwood East,,Richard Wood Solicitors,-37.8132958,145.2476685,,
4396,Croydon,,Jenny L Stephenson Lawyer,-37.801844,145.27648,,
4397,Ringwood,,Smoorenburg Patent & Trade Mark Attorneys,-37.814147999999996,145.2314772,,
4399,Lilydale - Coldstream,,RNG Lawyers,-37.7575186,145.3479764,,
4400,Mooroolbark,,Wright Conveyancing Service,-37.768184999999995,145.326142,,
4401,Ringwood East,,Mulligan Family and Divorce Lawyers,-37.81220220000001,145.2509116,,
4402,Boronia,,Eugene Naidoo & Associates,-37.859701,145.28869680000003,,
4403,Mooroolbark,,Beaumont Lawyers,-37.785323999999996,145.312434,,
4406,Ringwood,,Better Place Australia Ringwood,-37.80646460000001,145.2424294,,
4408,Monbulk - Silvan,,Arthur Kapantzian Barrister & Solicitor,-37.87746,145.417757,,
4410,Ringwood,,Radebe & Associates,-37.816265,145.220429,,
4413,Mooroolbark,,Yarra Ranges Lawyers,-37.783728,145.312402,,
4414,Lilydale - Coldstream,,Yarra Valley Process Service,-37.754956400000005,145.38172880000002,,
4415,Lilydale - Coldstream,,RNG Lawyers,-37.757591999999995,145.347928,,
4416,Mooroolbark,,Tile Layer Services,-37.759997,145.31631399999998,,
4417,Croydon,,Just Law | Building Dispute Lawyer,-37.7981493,145.2810698,,
4418,Croydon,,Belmar Conveyancing Services,-37.797552100000004,145.28054550000002,,
4419,Mooroolbark,,GLN Conveyancing Services,-37.7851756,145.3159503,,
4596,Bentleigh - McKinnon,,Prior Law,-37.911062,145.04061000000002,,
4598,Blackburn,,First Class Legal,-37.820031,145.1532688,,
4599,Hawthorn East,,MELCA,-37.825293200000004,145.0492261,,
4600,Clayton,,JK Lawyers,-37.910119,145.14599199999998,,
4603,Oakleigh - Huntingdale,,RB Flinders Lawyers Oakleigh,-37.899201,145.089341,,
4606,Glen Waverley,,GE Law Services,-37.881803999999995,145.16385209999999,,
4607,Clayton South,,안수산 변호사 Trinity A Law,-37.9295174,145.12232769999997,,
4612,Surrey Hills,,Sky Legal Lawyers,-37.826756,145.0867081,,
4618,Malvern - Glen Iris,,Peter Speakman & Co Pty Lawyers,-37.8533944,145.0427547,,
4621,Caulfield,,Ashmor Legal Pty Ltd,-37.8745527,145.02455830000002,,
4628,Caulfield,,Cyngler Kaye Levy Lawyers,-37.872392,145.023864,,
4674,Armadale,,LGM Advisors,-37.8559777,145.02633459999998,,
4676,,,Livaditis Lawyers,-37.861932200000005,145.0651253,,
4678,Caulfield,,BOND NATIONAL - Negotiating for best outcomes,-37.874409,145.024669,,
4691,Mount Waverley,,HLA Legal,-37.876396899999996,145.14709419999997,,
4721,Mount Waverley,,Allied Lawyers & Conveyancing,-37.878476,145.128863,,
4787,Malvern - Glen Iris,,Global Brand Protection,-37.8533386,145.0439046,,
4791,Boronia,,Parkers Legal,-37.861332,145.302765,,
4832,Boronia,,Mackinnon Jacobs Lawyers,-37.862117,145.283118,,
4872,Ferntree Gully,,Zenith Lawyers & Consultants,-37.881572,145.27928899999998,,
4878,Doncaster East,,Starnet Legal,-37.7892078,145.1597023,,
4912,Oakleigh - Huntingdale,,Dandanis & Associates,-37.898672999999995,145.0903265,,
4919,Glen Waverley,,Cumberbatch and Williams Lawyers,-37.868714000000004,145.164325,,
4942,Mount Waverley,,Hicks Oakley Chessell Williams,-37.8941492,145.1307062,,
4952,Balwyn,,Grice Legal,-37.812326,145.078504,,
4958,Murrumbeena,,Tran Lawyers,-37.907632,145.0721301,,
4986,Mitcham,,Settle Easy Law,-37.816189,145.198358,,
4987,Box Hill,,Liberal Legal,-37.818529999999996,145.120505,,
4988,Box Hill,,Oakfair Lawyers,-37.82035,145.124322,,
4989,Boronia,,TEAM LAW,-37.8543629,145.29759230000002,,
4991,Box Hill,,FRANCIS LIM,-37.8185164,145.1245251,,
4992,Mitcham,,Mitcham Family Lawyers,-37.8170158,145.19310259999997,,
4993,Mount Waverley,,Goodman Group Lawyers Mt Waverly,-37.873224799999996,145.1478084,,
4995,Blackburn South,,To Legal,-37.832072,145.148224,,
4996,Glen Waverley,,Original Conveyancing Services,-37.880455,145.164089,,
4997,Mitcham,,MW Law,-37.816319,145.1961005,,
4998,Glen Waverley,,Discount Legal Conveyancing,-37.879413,145.16541,,
5024,Ringwood East,,Byways Conveyancing Service,-37.81925510000001,145.244279,,
31,Blackburn,,Bowlt Commercial Lawyers,-37.8194568,145.15409509999998,,
47,Blackburn,,Perry Weston,-37.8197484,145.1505502,,
54,Mount Waverley,,Hartleys Lawyers - Mt. Waverley,-37.873224,145.147802,,
58,Mount Waverley,,Aged Care Mediation Services,-37.862426,145.147482,,
81,Lilydale - Coldstream,,Ken Smith & Associates,-37.7570778,145.3599639,,
88,Blackburn,,Mccracken & Mccracken,-37.819469,145.154435,,
95,Knoxfield - Scoresby,,Anthony Raso & Associates,-37.8983018,145.2299554,,
99,Glen Waverley,,Sharrock Pitman Legal,-37.8809786,145.1612896,,
101,Ferntree Gully,,Anderson Partners,-37.888531,145.292701,,
114,Nunawading,,William Archer Defence Lawyers,-37.8219292,145.1756591,,
115,Ringwood,,Go To Court Lawyers,-37.8152969,145.2202352,,
116,Glen Waverley,,Rayner Song Family Lawyers,-37.879158000000004,145.16427099999999,,
117,Bayswater,,Ryan Carlisle Thomas Lawyers,-37.841322999999996,145.261324,,
118,Glen Waverley,,Monash Law,-37.88072200000001,145.18665,,
134,Mount Evelyn,,Kieran Cox,-37.787569399999995,145.37965309999998,,
153,Mount Evelyn,,Eastern Conveyancing,-37.7864537,145.36964369999998,,
165,Mitcham,,Settle Easy Law,-37.816168700000006,145.1983755,,
167,Ringwood,,Holt & Macdonald,-37.8146895,145.223763,,
169,Boronia,,Metropolitan Conveyancing Services,-37.8625828,145.2878509,,
170,Mitcham,,Bonaj Consultants,-37.817015999999995,145.193103,,
171,Boronia,,G a&C J Law,-37.850433,145.30338999999998,,
172,Wantirna South,,Ballards Solicitors,-37.870287,145.237822,,
176,Croydon,,DCG Lawyers & Consultants,-37.787252,145.27508600000002,,
184,Mount Evelyn,,Jim’s Conveyancing,-37.7851735,145.3783061,,
195,Blackburn,,Vlahos & Associates Lawyers,-37.818399799999995,145.16188,,
223,Doncaster East,,Costanzo Lawyers Melbourne,-37.781112,145.16306699999998,,
224,Croydon,,South East Lawyers,-37.7938935,145.28243759999998,,
225,Ringwood,,Dribbin & Brown Criminal Lawyers,-37.813841,145.226953,,
227,Boronia,,David Wilkinson & Co,-37.844921500000005,145.2993384,,
238,Doncaster East,,Lawson Bayly Lawyers & Migration Agents,-37.7812,145.165652,,
296,Glen Waverley,,Dispute Over Mediation Services,-37.880967,145.16128500000002,,
299,Blackburn,,Mahons with Yuncken & Yuncken Lawyers,-37.816114,145.157002,,
342,Boronia,,Robert Wood and Associates,-37.8597861,145.2881983,,
348,Ringwood,,Devenish Lawyers,-37.813840899999995,145.226953,,
353,Kilsyth,,Alpass & Associates,-37.801629,145.309439,,
357,Boronia,,Robert I. Wood,-37.8597997,145.2882112,,
359,Wantirna,,Skilled Conveyancing Services PTY Ltd.,-37.847762100000004,145.2326893,,
363,Healesville - Yarra Glen,,Eastern Community Legal Centre Inc,-37.6529473,145.51727230000003,,
373,Lilydale - Coldstream,,Johnstone and Reimer Lawyers,-37.756916100000005,145.3537349,,
376,Croydon,,Forrest Legal,-37.794182,145.281841,,
382,Ringwood East,,Del Monaco Wootton & Co,-37.82813370000001,145.2468692,,
388,Lilydale - Coldstream,,Williams & Lay Lawyers,-37.7567593,145.3532271,,
395,Ringwood East,,MJ Legal,-37.802793,145.25313799999998,,
398,Lilydale - Coldstream,,Di Battista & Co,-37.7580247,145.3521743,,
670,St Kilda,,Legal Zebra,-37.8575963,144.98372949999998,,
672,South Yarra,,HR Legal,-37.843396000000006,144.996672,,
676,Bentleigh - McKinnon,,Dunstan & Raftis,-37.911031,145.03941,,
679,Cheltenham,,Currie Law,-37.948457399999995,145.04048899999998,,
716,Cheltenham,,Hassall's Litigation Services,-37.948963899999995,145.0430708,,
719,Bentleigh - McKinnon,,Dribbin & Brown Criminal Lawyers,-37.933011,145.036596,,
726,Kew,,Dennemeyer & Associates,-37.806828,145.033027,,
741,Cheltenham,,Lewis & Weir,-37.965441999999996,145.06726899999998,,
749,Cheltenham,,Better Place Australia,-37.9657201,145.057407,,
757,Bentleigh East,,Prior Law,-37.920464,145.055052,,
773,Springvale,,Felix A Vitiello,-37.941736,145.154464,,
782,Dandenong,,Australian Immigration & Citizenship Centre,-37.98686500000001,145.215407,,
791,Dandenong,,Victory Law,-37.9892072,145.2164118,,
792,Dandenong,,James Dowsley & Associates Pty Ltd,-37.989498,145.216142,,
794,Dandenong,,Slink & Keating,-37.989677,145.216081,,
798,Dandenong,,LEXTON LEGAL,-37.982434399999995,145.2111439,,
799,Dandenong,,Farris Legal,-37.986825200000006,145.2123097,,
802,Dandenong North,,Legoll Legal Practitioners,-37.969,145.21539199999998,,
803,Dandenong,,Belleli King & Associates,-37.988890999999995,145.215264,,
806,Dandenong,,Warna Legal,-37.9838122,145.2200733,,
808,Dandenong,,Dandenong Family Lawyers,-37.9847459,145.2112998,,
809,Springvale,,Loke & Associates,-37.9472333,145.1527815,,
813,Dandenong,,Axis Lawyers,-37.988483,145.21486399999998,,
817,Dandenong,,Taft Lawyers,-37.984224499999996,145.2116803,,
818,Dandenong,,Dribbin & Brown Criminal Lawyers,-37.9896685,145.2158013,,
824,Bentleigh - McKinnon,,Law To Your Door,-37.932953999999995,145.036751,,
897,Upwey - Tecoma,,DMAC Legal,-37.90412329999999,145.3313699,,
907,Dandenong North,,Waverley Legal & Conveyancing,-37.949616999999996,145.198158,,
961,Belgrave - Selby,,Armstrong Ross Lawyers,-37.9083905,145.3548159,,
972,Rowville,,JH Legal,-37.917684,145.2376582,,
