,Suburb,Business.Type,Name.of.Business,Latitude,Longitude,Address,Phone.Number
1009,Wheelers Hill,,A.I.F Lucas & Co,-37.894117,145.188284,,
1030,Emerald - Cockatoo,,KLR Legal Services,-37.9296558,145.4449306,,
1035,Rowville,,Superior Conveyancing Services,-37.914038,145.25695530000002,,
1039,Rowville,,Patricia Hepworth,-37.917659,145.23787,,
1094,Mulgrave,,LEXTECH,-37.9374128,145.19287769999997,,
1116,Vermont South,,James Tan Immigration Consultants,-37.847949,145.183239,,
1117,Knoxfield - Scoresby,,Mathew James Lawyers,-37.8829839,145.23804280000002,,
1118,Ferntree Gully,,Argyle Conveyancing Services Pty Ltd,-37.8816026,145.27511830000003,,
1120,Dandenong,,Continental Migration Centre,-37.9877814,145.2135994,,
1143,Dandenong,,A. B. Natoli Lawyers,-37.98551399999999,145.210988,,
1144,Dandenong,,Wheeler Family Law,-37.984624,145.21121499999998,,
1145,Dandenong,,Go To Court Lawyers,-37.9854008,145.21381259999998,,
1151,Emerald - Cockatoo,,Scott Family Law,-37.98305209999999,145.39703889999998,,
1152,Dandenong,,Ram & Associates,-37.987511,145.216296,,
1153,Dandenong,,Just Family Law,-37.9847277,145.211098,,
1154,Dandenong,,Secure Conveyancing Services,-37.98697670000001,145.2024897,,
1156,Narre Warren North,,PGD Lawyers,-37.980821,145.315446,,
1159,Dandenong,,Fleming & Rhoden Lawyers,-37.987541,145.210571,,
1164,Dandenong,,Roberts Migration,-37.985396,145.221707,,
1173,Hallam,,Jay & Co Barristers and Solicitors,-38.005117,145.267088,,
1177,Dandenong,,State Trustees,-37.99043890000001,145.214283,,
1188,Emerald - Cockatoo,,Falcone & Adams,-37.9317358,145.44157959999998,,
1191,Endeavour Hills,,Kearney Stephen & Associates,-37.977982,145.261326,,
1194,Emerald - Cockatoo,,Buy and Sell Conveyancing Services,-37.930122,145.443843,,
1207,Emerald - Cockatoo,,AAB Lawyers,-37.929696,145.44523909999998,,
1221,Boronia,,Hounslow And Associates Lawyers,-37.8614632,145.2754211,,
1222,Hallam,,Alcore Conveyancing,-38.004740000000005,145.267175,,
1223,Bayswater,,Kerr & Thomas,-37.841839,145.26373230000002,,
1225,Boronia,,Hounslow & Associates,-37.861971000000004,145.283121,,
1233,Rowville,,Mackinnon Conveyancing,-37.9138213,145.25713080000003,,
1235,Belgrave - Selby,,Belgrave General Lawyers,-37.90916370000001,145.3536563,,
1236,Ferntree Gully,,Jasons Lawyers,-37.893799,145.306916,,
1237,Rowville,,Chandra Weerakoon,-37.904536,145.27381599999998,,
1239,Narre Warren,,just family law - Narre Warren.,-38.02483950000001,145.30532069999998,,
1381,Albert Park,,Khor & Burr Pty Ltd,-37.84968,144.979899,,
1389,Cheltenham,,Bayside Mediation,-37.9488643,145.044147,,
1393,Brighton,,Construction Expert Services - Expert Witness and Dispute Resolution,-37.9059446,145.0044671,,
1416,Elwood,,Ampersand & Ampersand Pty Ltd - Ampersand Legal & Ampersand Promotions,-37.875084,144.97831200000002,,
1434,Melbourne,,Kai Legal,-37.815453399999996,144.9634294,,
1556,Caulfield,,BANCROFT LAWYERS,-37.8790201,145.0154375,,
1566,Springvale,,May's Conveyancing,-37.950246,145.152997,,
1627,Malvern - Glen Iris,,Bartram Lawyers,-37.86377529999999,145.0501728,,
1628,Bentleigh - McKinnon,,Prior Law,-37.918824,145.04273500000002,,
1634,Cheltenham,,Kingston Lawyers,-37.967276,145.056127,,
1636,Moorabbin - Heatherton,,PCL Lawyers Moorabbin,-37.934523,145.045968,,
1637,Springvale,,Nathan Dorevitch Lawyers,-37.9503241,145.15303559999998,,
1638,Cheltenham,,de Kretser Law,-37.949152500000004,145.04421240000002,,
1646,Dandenong,,Quintessential Lawyers,-37.9869033,145.21244480000001,,
1676,Mount Waverley,,HDME Lawyers,-37.891643,145.144206,,
1759,Beaumaris,,MJS Law,-37.9936857,145.03932519999998,,
1777,Carrum Downs,,Peninsula Injury Lawyers,-38.0950314,145.157721,,
1786,Bentleigh East,,Horsfield & Associates Lawyers,-37.9295934,145.06449740000002,,
1794,Dandenong,,Ressan Lawyers,-37.9873217,145.21653510000002,,
1834,Narre Warren,,Chardon Legal,-38.026553,145.3045131,,
1872,Narre Warren,,Ryan Carlisle Thomas Lawyers,-38.026173,145.305221,,
1874,Lynbrook - Lyndhurst,,DDSS Legal Conveyancing,-38.057305,145.245978,,
1875,Chelsea Heights,,Victory Law,-38.03369,145.13474,,
1876,Hampton Park - Lynbrook,,"David Naidoo & Associates - Building and construction lawyers in Hampton Park, Melbourne",-38.03259449999999,145.2655557,,
1877,Narre Warren,,Better Place Australia Narre Warren,-38.025311200000004,145.3134373,,
1878,Dandenong,,Melbourne International Lawyers,-37.982539200000005,145.2110172,,
1914,Mordialloc - Parkdale,,Leonidas Lawyers,-37.994398,145.092186,,
1918,Oakleigh - Huntingdale,,Better Place Australia Chadstone,-37.89571180000001,145.09995569999998,,
1936,Narre Warren,,berwicklegal,-38.0228445,145.3133663,,
1945,Berwick,,Just Family Law - Berwick,-38.0313335,145.3446551,,
1946,Berwick,,Leyton-Palma Lawyers,-38.031669799999996,145.3457872,,
1951,Berwick,,Johnstone and Reimer Lawyers,-38.0316068,145.3456988,,
1955,Berwick,,Malkin Lawyers,-38.0322027,145.3458905,,
1974,Berwick,,Casey Legal,-38.026484,145.346459,,
1975,Berwick,,Moondarra Legal,-38.064763000000006,145.33008600000002,,
1998,Clayton,,"MJHC Legal, Lawyers",-37.910536,145.141526,,
2260,South Melbourne,,Gomez Lawyers,-37.8305284,144.9599095,,
2272,Albert Park,,Visatec Legal - Lawyers & Notary Public,-37.835908,144.97374299999998,,
2275,Albert Park,,Rosendorff Lawyers,-37.8384689,144.975597,,
2341,Brighton,,RMS Lawyers,-37.9044472,144.9952013,,
2390,Caulfield,,Bridges Immigration Law Solutions,-37.87982909999999,145.0230739,,
2395,Brighton East,,J.P. Cahill - Criminal Law Firm & Experts Melbourne,-37.9251079,145.0199929,,
2397,Brighton,,CE Family Lawyers,-37.90502600000001,144.9994241,,
2413,St Kilda East,,ALFREDS ATTORNEYS,-37.8686352,144.9905109,,
2418,Brighton,,Lipman James,-37.916191,144.995826,,
2422,Cheltenham,,Legal Transfers Conveyancing,-37.9462749,145.0223981,,
2423,Hampton,,Bayside Family Law Solutions,-37.9402414,145.0018379,,
2427,Brighton,,Lloyd Wright Legal,-37.904874299999996,144.9999548,,
2432,Bentleigh - McKinnon,,Ethnico Conveyancing & Financial Services,-37.9179114,145.0234137,,
2433,Brighton,,Bayside Collaborative,-37.90464,144.99940800000002,,
2434,Hampton,,HobanLegal,-37.9373598,145.00342980000002,,
2435,Brighton,,Goodman Group Lawyers Brighton,-37.9056469,144.9994383,,
2438,Bentleigh East,,Prior Law,-37.9205489,145.0550371,,
2469,Carnegie,,Gotcha Process Serving Agency,-37.8950779,145.05485019999998,,
2496,Dandenong,,F. R. Monotti and Co.,-37.9863604,145.21214540000003,,
2499,Murrumbeena,,Gladwin Legal,-37.907097,145.06809199999998,,
2544,Frankston,,Allied Lawyers & Conveyancing,-38.1440746,145.12102769999998,,
2548,Carrum Downs,,Complete Legal,-38.0975353,145.17069919999997,,
2553,Sandringham - Black Rock,,Burrell Family Law,-37.975680100000005,145.016503,,
2555,Dingley Village,,Dingley Conveyancing Services,-37.9825903,145.1312826,,
2557,Springvale,,Clifford Lawyers,-37.9523684,145.1520561,,
2573,Cheltenham,,Legal E Docs Pty Ltd,-37.963069,145.029723,,
2574,Moorabbin - Heatherton,,Gigliotti Lawyers Moorabbin,-37.9352249,145.0378761,,
2625,Cheltenham,,James Dowsley & Associates Pty Ltd,-37.9487034,145.04268480000002,,
2628,Carrum Downs,,"Nithyananda Vedic Cultural, Arts & Education Center",-38.0863971,145.18208169999997,,
2629,Mordialloc - Parkdale,,CCS Lawyers,-37.99293970000001,145.07820149999998,,
2630,Mulgrave,,Alphastream Lawyers,-37.932665,145.16100500000002,,
2631,Clayton,,Portelli & Co,-37.9240084,145.1203535,,
2633,Springvale,,Zed Law Springvale,-37.950641,145.149586,,
2634,Bentleigh - McKinnon,,Rotman & Morris,-37.93289499999999,145.036272,,
2638,Bentleigh - McKinnon,,Probate Excellence,-37.9179825,145.0325735,,
2639,Moorabbin - Heatherton,,Fincor Services Australia Pty lTD,-37.946834100000004,145.0576575,,
2670,Frankston,,Willerby's Solicitors & Conveyancers,-38.1389558,145.1227199,,
2672,Frankston,,PCL Lawyers Frankston,-38.142245,145.121547,,
2675,Frankston,,Dribbin & Brown Criminal Lawyers,-38.139154100000006,145.1235303,,
2676,Dandenong,,SB Solicitors + Notary,-37.9898557,145.2142225,,
2677,Frankston,,Taylor Family Law,-38.142418,145.12199219999997,,
2687,Frankston,,John Snodgrass & Associates,-38.142264000000004,145.1215867,,
2696,Frankston,,The Melbourne Conveyancing Centre,-38.143357,145.123482,,
2706,Frankston,,Bayside Solicitors Frankston,-38.138607,145.127402,,
2712,Dandenong,,Chris Woods & Associates,-37.984685600000006,145.2112491,,
2714,Mentone,,Cheltenham Conveyancing,-37.982707700000006,145.0709764,,
2715,Frankston North,,Better SEPARATIONS - Keeping people out of Family Court since 2009,-38.13330200000001,145.142676,,
2718,Seaford,,Michael Ongarello & Associates Pty Ltd,-38.1158367,145.14065980000004,,
2719,Edithvale - Aspendale,,James McConvill & Associates,-38.0445292,145.113471,,
2780,Carrum - Patterson Lakes,,DCA Lawyers,-38.0683278,145.14246830000002,,
2782,Frankston,,James Dowsley & Associates Pty Ltd,-38.142029,145.12572609999998,,
2783,Frankston,,Worrells Solvency & Forensic Accountants,-38.1424185,145.12198930000002,,
2784,Langwarrin,,Intense Impressions Photography,-38.194928000000004,145.18170700000002,,
2787,Frankston,,A Australian Conveyancing Co.,-38.1431922,145.1230121,,
2788,Carrum - Patterson Lakes,,DCA Lawyers,-38.068524100000005,145.1423616,,
2790,Frankston,,Monaco Compensation Lawyers Frankston,-38.142433399999994,145.121983,,
2792,Mount Eliza,,Lardners Solicitors,-38.1835,145.090352,,
2793,Frankston,,Terry Weerappah - Bayside Solicitors,-38.1385901,145.12740469999997,,
2795,Frankston,,Hounslow And Associates Lawyers,-38.141399299999996,145.12246389999999,,
2797,Frankston,,Frankston Family Relationship Centre,-38.143213,145.12270790000002,,
2801,Frankston,,Ryan Carlisle Thomas Lawyers,-38.14497009999999,145.12317240000002,,
2804,Cranbourne West,,Frank Giummarra,-38.098439,145.255044,,
2808,Langwarrin,,Peter Haberle,-38.147384,145.17383,,
2814,Seaford,,A1 Debt Assistance,-38.10002720000001,145.1258351,,
2815,Frankston,,Empowering Meditations,-38.141376,145.12244099999998,,
2816,Dandenong,,Avoid Bankruptcy,-38.033021999999995,145.192068,,
2817,Carrum - Patterson Lakes,,Relationship Resolution,-38.076456,145.122261,,
2818,Seaford,,Lisa Davies & Associates - Seaford,-38.1152899,145.1404499,,
2819,Frankston North,,Flat Fee Conveyancing Services,-38.154561,145.165422,,
2825,Mornington,,eConvey Conveyancing Specialists,-38.2183994,145.06304740000002,,
2827,Mornington,,PHAEDONOS LAW,-38.2258471,145.0418632,,
2829,Mornington,,AMT Legal,-38.226468700000005,145.04250080000003,,
2835,Mornington,,"Roberts Beckwith Partners,Beckwith C",-38.2215961,145.0406137,,
2836,Somerville,,Southern Peninsula Conveyancing,-38.22488860000001,145.1749863,,
2846,Mornington,,Life Solutions: Mornington Financial Advisor,-38.233739299999996,145.0572493,,
2850,Mornington,,Stidston Warren Lawyers,-38.221333,145.04045,,
2856,Somerville,,Guthrie & Associates,-38.22528000000001,145.1751218,,
2857,Mornington,,Australian Debt and Insolvency Solutions Pty Ltd (ADAIS),-38.2201317,145.0383755,,
2860,South Yarra,,TOD Legal,-37.8358609,144.99670659999998,,
2861,Frankston,,MDL Law,-38.1447289,145.1224312,,
2863,Mornington,,Anchorage legal,-38.225964000000005,145.04275900000002,,
2872,Mornington,,Sacha Raman Solicitor,-38.244667,145.048482,,
2874,Mornington,,Marshalls+Dent Lawyers Mornington,-38.2191526,145.0391734,,
2886,Frankston,,Go To Court Lawyers,-38.14348820000001,145.1204997,,
2888,Mornington,,Carroll Goldsmith Lawyers,-38.221438299999996,145.0401434,,
2892,Mornington,,Land Transfer Services - Mornington,-38.2206184,145.03987450000002,,
2895,Frankston,,LifeWorks Relationship Counselling and Education Services,-38.1428874,145.12299050000001,,
2897,Mornington,,Walls Bridges Lawyers,-38.2202591,145.0385545,,
2899,Frankston,,Goodman Group Lawyers Frankston,-38.1438826,145.12036669999998,,
2905,Cranbourne,,Sandercock & Cowie,-38.113539,145.284866,,
2906,Cranbourne,,Process All-Over,-38.1099995,145.2828575,,
2917,Langwarrin,,Silverthorn Conveyancing Langwarrin,-38.1513175,145.1971301,,
2918,Frankston,,Slater and Gordon Lawyers,-38.13987410000001,145.123169,,
2926,Cranbourne,,Ryan Carlisle Thomas Lawyers,-38.1100477,145.2835666,,
2933,Cranbourne,,Goodman Group Lawyers Cranbourne,-38.11042399999999,145.28354199999998,,
2950,Hallam,,Mark G Bramich,-38.004591999999995,145.267293,,
2951,Hampton Park - Lynbrook,,Aldgate Conveyancing,-38.034926,145.26586799999998,,
2984,South Melbourne,,Montague Legal,-37.837062,144.95368100000002,,
2990,South Melbourne,,Topdocs,-37.8330902,144.9717021,,
3053,Albert Park,,Health Legal Pty Ltd.,-37.8432242,144.9772825,,
3110,Caulfield,,Rickards Legal,-37.886581899999996,145.0202072,,
3144,Melton,,Adviceline Injury Lawyers,-37.682779100000005,144.5833075,,
3158,Bacchus Marsh,,Pauline Madden Conveyancing & Legal,-37.6758896,144.43654030000002,,
3164,Melton,,Conveyancing Melton $350.00 by Graham Slater & York Lawyers,-37.6871122,144.5920142,,
3165,Melton,,Maurice Blackburn,-37.682978999999996,144.5804663,,
3166,Melton,,Slater and Gordon Lawyers,-37.684033,144.5827791,,
3167,Melton,,Callea Pearce Lawyers,-37.6827847,144.5848408,,
3172,Bacchus Marsh,,P&M Lawford,-37.690576,144.479411,,
3177,Melton,,"Alfred J. Leckie Civil Celebrant - Marriage Celebrant, Weddings, Naming Ceremonies",-37.6072929,144.59553209999999,,
3178,Melton,,"Shamanic Rain Lifestyle Centre & Natural Living Cafe - Spiritual, Psychic, Crystals",-37.6933627,144.6000323,,
3179,Melton,,Quality Conveyancing Group CONVEYANCING,-37.682761299999996,144.583741,,
3181,Bacchus Marsh,,The Conveyancing Quarters,-37.675559,144.438146,,
3182,Bacchus Marsh,,Haines Conveyancing,-37.6752465,144.4374436,,
3188,Werribee,,Ebejer & Associates Lawyers,-37.901385999999995,144.664756,,
3195,Bacchus Marsh,,Jillian Thomas,-37.641729999999995,144.427854,,
3199,Bacchus Marsh,,Contact Lawyers,-37.680686,144.434662,,
3209,Bacchus Marsh,,Nevett Ford Lawyers Bacchus Marsh,-37.676277899999995,144.4394255,,
3219,Melton,,Cameo Conveyancing Victoria,-37.682629999999996,144.58010430000002,,
3262,Melton,,Better Place Australia Melton,-37.682928600000004,144.5792135,,
3264,Melton,,Homecall Conveyancing,-37.6834721,144.58410769999998,,
3266,Melton,,Robert D Taylor & Associates,-37.6840045,144.58279840000003,,
3274,,,BJT Legal,-37.5633645,143.8572347,,
3281,Bacchus Marsh,,Casa Conveyancing,-37.6757042,144.4354169,,
3287,Melton,,Ryan Carlisle Thomas Lawyers,-37.684315999999995,144.581759,,
3290,Melton West,,IMCS Inclusive Mediation & Counselling Services,-37.676096,144.558665,,
3295,Melton,,Hayden Legro,-37.6827016,144.585118,,
3300,Sunbury,,Wilkinson Lawyers,-37.5803113,144.72925790000002,,
3302,Sunbury,,Zina Clarence,-37.580259399999996,144.72864009999998,,
3304,Sunbury,,Blue Ridge Conveyancing,-37.579912,144.73054399999998,,
3312,Sunbury,,Knight & Associates,-37.580360999999996,144.72931,,
3319,Melbourne,,McNab McNab & Starke Lawyers,-37.81381,144.9559272,,
3354,Romsey,,"TBA Law Romsey, formerly James Kelleher Lawyers",-37.349550799999996,144.7431938,,
3356,Sunbury,,E.C. Conveyancing,-37.5791956,144.7291516,,
3367,,,JS Law Barrister and Solicitor,-37.35647650000001,144.52685060000002,,
3380,,,Mount Alexander Conveyancing Services,-37.111354,144.330079,,
3386,Wallan,,TBA Law Wallan,-37.4141468,144.9786264,,
3388,Riddells Creek,,Tolhurst Druce & Emmerson,-37.4636159,144.67772580000002,,
3391,,,Community Legal Centres(Vic,-36.3813261,145.3995382,,
3393,,,R. P. Hoban,-37.2919124,144.9507689,,
3394,,,Alan Hebb,-37.356949900000004,144.5282998,,
3395,Macedon,,Care Conveyancing,-37.3917953,144.5911704,,
3399,,,DeLacy Mediation,-37.178579,144.489396,,
3408,Macedon,,Noy Justine,-37.422292,144.567588,,
3410,Macedon,,Noy & Associates Lawyers,-37.422661,144.564576,,
3412,,,Paul Maginn,-37.2918859,144.95080159999998,,
3418,,,Victorian Aboriginal Legal Service Co-operative Ltd,-36.381551,145.39951000000002,,
3419,,,Loddon Campaspe Community Legal Centre,-36.75743320000001,144.2842009,,
3428,Sunbury,,Kavanagh Lawyers,-37.5796675,144.73072630000001,,
3538,Plenty - Yarrambat,,Better Place Australia Greensborough,-37.686,145.11700000000002,,
3543,Heidelberg - Rosanna,,Glenys Dolphin,-37.738285999999995,145.067838,,
3545,Preston,,Family Conveyancing Services,-37.737238,145.022216,,
3568,Greensborough,,Melbourne Mediation Centre,-37.702163299999995,145.1067083,,
3569,Plenty - Yarrambat,,Baillie Conveyancing Services,-37.6256422,145.1356012,,
3571,Greensborough,,MK Steele & Giammario,-37.70419649999999,145.1017656,,
3573,Mill Park,,Mahons with Yuncken & Yuncken,-37.667444399999994,145.0613108,,
3577,Mill Park,,BK Lawyers and Conveyancers,-37.6667636,145.06178640000002,,
3579,Bundoora,,Alan Burnes,-37.700362,145.059153,,
3582,Wattle Glen - Diamond Creek,,McCubbin Ian J & Assoc,-37.67325,145.15145900000002,,
3610,Lalor,,Sabdo & Associates Lawyers,-37.666328,145.02101399999998,,
3613,Thomastown,,Dellios West & Co,-37.680380799999995,145.0139294,,
3625,Thomastown,,LN Christie & Co,-37.68095599999999,145.01329199999998,,
3626,Epping,,D & M Lawyers,-37.649887299999996,145.0247656,,
3635,Whittlesea,,Glenister I & Associates,-37.5116766,145.1179086,,
3672,Whittlesea,,Northern Conveyancing Services,-37.511590999999996,145.117679,,
3710,Doreen,,De Maria & Associates Pty Ltd,-37.5868162,145.12690049999998,,
3783,Monbulk - Silvan,,Neesham White Gentle,-37.8743482,145.4070987,,
3862,Berwick,,Wollerman Shacklock Lawyers,-38.031741,145.34602900000002,,
3864,Berwick,,JDB Law,-38.031657,145.345994,,
3871,Narre Warren North,,Neal Collin & Associates,-38.002068,145.374086,,
3874,Yarra Valley,,Brockway Legal,-37.781323,145.614184,,
3878,Berwick,,Maxiom Injury Lawyers,-38.0422322,145.3457181,,
3884,Monbulk - Silvan,,Sargeants Yarra Ranges,-37.876973,145.453219,,
3888,Wandin - Seville,,Justin P Foster,-37.809509999999996,145.43001999999998,,
3910,Wandin - Seville,,Bruce Caldwell & Associates,-37.778128,145.459417,,
3929,Croydon,,Lawyers Conveyancing,-37.795949,145.282383,,
3932,Lilydale - Coldstream,,Crest Conveyancing,-37.757999,145.35132099999998,,
3977,Beaconsfield - Officer,,Bona Fide Lawyers,-38.046786,145.368446,,
4057,Pakenham,,Megan Copas Solicitor,-38.043031400000004,145.4373994,,
4058,Berwick,,McPhees Solicitors,-38.030336,145.346099,,
4059,Narre Warren,,Red Door Conveyancing,-38.0222609,145.31287619999998,,
4061,Narre Warren South,,Schimmelbusch & Mathrick Conveyancing Services,-38.041949,145.298501,,
4063,Berwick,,Neal Collin Lawyers,-38.0315566,145.3457305,,
4065,Narre Warren,,Dorota Sokolowski,-38.022750099999996,145.3122282,,
4137,Cranbourne North,,Melbourne International Lawyers,-38.084848,145.317505,,
4156,Cranbourne,,First Class Legal,-38.111074200000004,145.28340930000002,,
4174,Beaconsfield - Officer,,Conveyancing Pakenham $350.00 by GSY Lawyers,-38.0650619,145.43391509999998,,
4183,Berwick,,Casey Business Lawyers,-38.031474100000004,145.3459985,,
4207,Pakenham,,Pakenham Conveyancing,-38.07739779999999,145.482025,,
4229,Pakenham,,Ryan Carlisle Thomas Lawyers,-38.0776,145.48240900000002,,
4236,Pakenham,,My Legal Crunch Lawyers,-38.072908700000006,145.4771881,,
4243,Cranbourne,,Gorman & Hannan,-38.11156,145.28298130000002,,
4244,Pakenham,,Thornton Immigration,-38.0770374,145.482462,,
4248,Pakenham,,Reale Lawyers,-38.076690500000005,145.4831819,,
4274,Pakenham,,CLAIRE MILES CONVEYANCING,-38.072905600000006,145.4772148,,
4289,,,Simon Parsons & Co.,-38.161846000000004,145.9404364,,
4290,,,Neil Freestone,-38.13971400000001,145.962399,,
4291,,,M. Davine,-38.166273,145.94016630000002,,
4293,,,Better Place Australia Warragul,-38.161736100000006,145.9357653,,
4296,,,Ian Brooks,-38.1635083,145.9296313,,
4298,Pakenham,,Strata Conveyancing Services,-38.077719099999996,145.4825046,,
4299,Pakenham,,Duffy & Simon,-38.077011999999996,145.4826345,,
4300,Pakenham,,Scott Family Law,-38.058823600000004,145.4784405,,
4301,Pakenham,,Mepstead Lawyers,-38.0776751,145.4820675,,
4304,,,Wakefield & Vogrig Lawyers - Sabina Wakefield,-38.160140500000004,145.9333566,,
4307,Bunyip - Garfield,,King Legal Group,-38.098172999999996,145.720855,,
4308,,,Kevin Davine & Sons,-38.159502200000006,145.9315541,,
4310,,,Miceal Ambrose Lawyers,-38.1600594,145.9337226,,
4311,,,SJD Law - Lawyers & Conveyancers,-38.16332,145.93084130000003,,
4313,,,Wakefield Vogrig & Boote Lawyers,-38.136461100000005,145.8588969,,
4317,,,Bowers Conveyancing Services,-38.163521100000004,145.92993959999998,,
4319,,,Richard Connelly Lawyer,-38.16123169999999,145.9363179,,
4321,,,Property Conveyancing Group,-38.1369135,145.858201,,
4322,,,Mka Hamilton & Telford,-38.1371864,145.85829230000002,,
4324,Pakenham,,Animal Expert Witness,-38.04249779999999,145.5030961,,
4325,,,Wakefield Vogrig & Boote Lawyers,-38.1601155,145.9340621,,
4377,Langwarrin,,All Day Conveyancing,-38.157522,145.198204,,
4379,Frankston,,Maurice Blackburn Lawyers Frankston,-38.14061299999999,145.1218504,,
4380,Frankston,,Anna V Araneta,-38.137515,145.12398000000002,,
4381,Frankston,,Monarch Conveyancing,-38.1347922,145.12373459999998,,
4382,Frankston,,Conveyancing Melbourne - Victorian Property Settlements,-38.14342429999999,145.123568,,
4384,Frankston,,Monarch Conveyancing,-38.13045,145.1256971,,
4386,Langwarrin,,Saker Conveyancing,-38.1464671,145.1914126,,
4441,Hastings - Somers,,Matrix Conveyancing,-38.2948461,145.18673769999998,,
4451,Mornington,,Hill Legal,-38.236098999999996,145.06094,,
4454,,,"Leonard & Associates, Lawyers",-38.4508234,145.2386392,,
4472,Hastings - Somers,,JKB Lawyers,-38.307082,145.1936647,,
4480,Mornington,,Hunt McCullough Kollias & Co,-38.221936,145.040844,,
4517,,,David Luscombe & Associates,-38.449969,145.239509,,
4518,,,Justice Road Farm - First Release,-38.462125,145.209131,,
4519,Somerville,,Peninsula Law - Tyabb,-38.2606995,145.19015339999999,,
4520,Rosebud - McCrae,,GZ Conrad,-38.3508897,144.94273590000003,,
4542,Mornington,,marshalls+dent+wilmoth lawyers Mornington,-38.219188700000004,145.03890769999998,,
4567,Mornington,,Seachange Property Real Estate,-38.2320451,145.05816719999999,,
4572,Somerville,,Walsh Conveyancing,-38.224044799999994,145.1765687,,
4573,Mornington,,Tick Box Conveyancing - Mornington Conveyancing,-38.2216125,145.0404629,,
4574,Somerville,,Brendan Bastin,-38.2319419,145.165447,,
4575,Dromana,,Sargeants Southern Peninsula,-38.30819,144.995771,,
4576,Dromana,,Hidden Harbour - MP Conveyancing ( Safety Beach ),-38.312324,145.002998,,
4577,Mount Eliza,,Port Phillip Conveyancing - Mt Eliza Branch,-38.1830869,145.0908099,,
4578,Somerville,,Conveyancer Frankston,-38.224068,145.17658500000002,,
4579,Mornington,,JG Nixon PTY Ltd.,-38.212825,145.052069,,
4580,Mount Martha,,Mather Gaile,-38.275377299999995,145.0117664,,
4581,Frankston,,Conveyancing Frankston $350.00,-38.154498700000005,145.1312132,,
4582,Mornington,,Tick Box Conveyancing - Mornington Conveyancing,-38.221583,145.04057,,
4600,Mornington,,Alesci Lawyers,-38.217829200000004,145.0368253,,
4607,Mount Martha,,Results Debtor Management,-38.249311,145.047989,,
4639,Dromana,,Sargeants Southern Peninsula,-38.3313932,144.96884350000002,,
4707,Mornington,,Peninsula Injury Lawyers,-38.226532500000005,145.0426638,,
4716,Mornington,,Roberts Beckwith Partners,-38.22157079999999,145.04060819999998,,
4786,Cranbourne,,Waters Lawyers,-38.112925399999995,145.28459009999997,,
4818,Narre Warren,,Arnold Dallas Mcpherson,-38.023488,145.313762,,
4819,Narre Warren,,Gateway Lawyers (Australia) PTY LTD,-38.0249405,145.31546609999998,,
4843,Cranbourne,,Slater and Gordon Lawyers,-38.1101291,145.2836812,,
4844,Cranbourne East,,Prestige Lawyers,-38.080137,145.346364,,
4845,Narre Warren South,,TDC Conveyancing,-38.052592,145.291268,,
4846,Cranbourne,,Lisa Davies & Associates - Cranbourne,-38.1104265,145.283874,,
4847,Beaconsfield - Officer,,Ideal Conveyancing,-38.049,145.371,,
4852,Cranbourne,,Zaparas Lawyers Cranbourne Office,-38.1084112,145.2836471,,
4853,Cranbourne,,We Care Conveyancing - Cranbourne,-38.111476399999994,145.28299730000003,,
4857,Pearcedale - Tooradin,,Hollander & Co. Conveyancing,-38.2029647,145.2351541,,
4858,Hampton Park - Lynbrook,,Mian Phillips & Co,-38.031690999999995,145.265512,,
4859,Narre Warren South,,Immigration Lawyers,-38.069716299999996,145.31318269999997,,
4860,Cranbourne,,Seachange Conveyancing,-38.110929799999994,145.2830878,,
4889,Doveton,,Pool Coping Tiles,-38.000617,145.229631,,
5064,Berwick,,JOHN CONQUEST LAWYERS,-38.030386299999996,145.3457939,,
5075,Pakenham,,Galbally & O'Bryan,-38.0770573,145.4826067,,
