,Suburb,Business.Type,Name.of.Business,Latitude,Longitude,Address,Phone.Number
376,Essendon - Aberfeldie,Legal Services,Prompt Legal Services,-37.739025,144.896463,,
377,Essendon - Aberfeldie,Legal Services,Graham Legal,-37.746019,144.9106887,,
378,Essendon - Aberfeldie,Legal Services,McNab McNab & Starke Lawyers,-37.744266,144.909092,,
379,Essendon - Aberfeldie,Legal Services,Wills At Your Home Wills Essendon,-37.753125,144.909545,,
380,Essendon - Aberfeldie,Legal Services,Hughes Legal,-37.738526,144.894829,,
381,Essendon - Aberfeldie,Legal Services,Robert M Phelan & Co,-37.755911,144.911378,,
382,Essendon - Aberfeldie,Legal Services,NANSCAWEN LAWYERS,-37.75554,144.919807,,
383,Essendon - Aberfeldie,Legal Services,Nicholas James Lawyers,-37.755848,144.918686,,
387,Essendon North,Legal Services,Anderson Law Legal Practitioners,-37.743799,144.909242,,
388,Alphington - Fairfield,Legal Services,Dellios West & Co,-37.777159,145.018784,,
389,Ferntree Gully,Legal Services,Mountain Gate Legal,-37.8843424,145.2738885,,
390,Ferntree Gully,Legal Services,Zenith Lawyers & Consultants,-37.881572,145.279289,,
392,Ferntree Gully,Legal Services,Anderson Partners,-37.888531,145.292701,,
394,Ferntree Gully,Legal Services,Argyle Conveyancing Services Pty Ltd,-37.8816026,145.2751183,,
395,Fitzroy,Legal Services,Fitzroy Legal Service,-37.8019104,144.9795413,,
397,West Footscray - Tottenham,Legal Services,Nzenza Legal and Migration Services,-37.7988161,144.9013918,,
398,West Footscray - Tottenham,Legal Services,Norton Legal,-37.8105773,144.8991998,,
399,West Footscray - Tottenham,Legal Services,Practical Legal Solutions,-37.806627,144.906183,,
401,Frankston,Legal Services,Victoria Legal Aid,-38.1389543,145.1274402,,
402,Frankston,Legal Services,Justice Crew Legal Services,-38.144483,145.124248,,
403,Frankston,Legal Services,White Cleland,-38.14315,145.120508,,
404,Frankston,Legal Services,Hayes & Associates,-38.13396,145.123884,,
405,Frankston,Legal Services,Denise Dwyer Lawyers,-38.137548,145.1240054,,
407,Frankston,Legal Services,Allied Lawyers & Conveyancing,-38.1440746,145.1210277,,
409,Frankston,Legal Services,Willerby's Solicitors & Conveyancers,-38.1389558,145.1227199,,
410,Frankston,Legal Services,PCL Lawyers Frankston,-38.142245,145.121547,,
411,Frankston,Legal Services,Dribbin & Brown Criminal Lawyers,-38.1391541,145.1235303,,
412,Frankston,Legal Services,Taylor Family Law,-38.142418,145.1219922,,
414,Frankston,Legal Services,John Snodgrass & Associates,-38.142264,145.1215867,,
416,Frankston,Legal Services,The Melbourne Conveyancing Centre,-38.143357,145.123482,,
418,Frankston,Legal Services,Bayside Solicitors Frankston,-38.138607,145.127402,,
419,Frankston,Legal Services,Better SEPARATIONS - Keeping people out of Family Court since 2009,-38.133302,145.142676,,
420,Frankston,Legal Services,James Dowsley & Associates Pty Ltd,-38.142029,145.1257261,,
421,Frankston,Legal Services,Worrells Solvency & Forensic Accountants,-38.1424185,145.1219893,,
422,Frankston,Legal Services,A Australian Conveyancing Co.,-38.1431922,145.1230121,,
423,Frankston,Legal Services,Monaco Compensation Lawyers Frankston,-38.1424334,145.121983,,
424,Frankston,Legal Services,Terry Weerappah - Bayside Solicitors,-38.1385901,145.1274047,,
425,Frankston,Legal Services,Hounslow And Associates Lawyers,-38.1413993,145.1224639,,
426,Frankston,Legal Services,Frankston Family Relationship Centre,-38.143213,145.1227079,,
427,Frankston,Legal Services,Ryan Carlisle Thomas Lawyers,-38.1449701,145.1231724,,
428,Frankston,Legal Services,Empowering Meditations,-38.141376,145.122441,,
429,Frankston,Legal Services,Flat Fee Conveyancing Services,-38.154561,145.165422,,
430,Frankston,Legal Services,MDL Law,-38.1447289,145.1224312,,
431,Frankston,Legal Services,Go To Court Lawyers,-38.1434882,145.1204997,,
432,Frankston,Legal Services,LifeWorks Relationship Counselling and Education Services,-38.1428874,145.1229905,,
433,Frankston,Legal Services,Goodman Group Lawyers Frankston,-38.1438826,145.1203667,,
434,Frankston,Legal Services,Slater and Gordon Lawyers,-38.1398741,145.123169,,
435,Frankston,,Maurice Blackburn Lawyers Frankston,-38.140613,145.1218504,,
436,Frankston,,Anna V Araneta,-38.137515,145.12398,,
437,Frankston,,Monarch Conveyancing,-38.1347922,145.1237346,,
438,Frankston,,Conveyancing Melbourne - Victorian Property Settlements,-38.1434243,145.123568,,
439,Frankston,,Monarch Conveyancing,-38.13045,145.1256971,,
440,Frankston,,Conveyancing Frankston $350.00,-38.1544987,145.1312132,,
441,Geelong,Legal Services,Victoria Legal Aid,-38.150542,144.359599,,
442,Geelong,Legal Services,Greater Geelong Legal,-38.1499984,144.3551704,,
443,Geelong,Legal Services,Coulter Roache,-38.149971,144.363143,,
444,Geelong,Legal Services,Harwood Andrews,-38.1494429,144.3566303,,
445,Geelong,Legal Services,Crawford & Company,-38.155695,144.362236,,
446,Geelong,Legal Services,Bay City Conveyancing & Legal,-38.1507155,144.3580657,,
447,Geelong,Legal Services,Mann Legal - Geelong,-38.150564,144.355365,,
449,Geelong West,Legal Services,Cahill & Rowe Family Law,-38.1354759,144.3491089,,
450,Gisborne,Legal Services,Ranges Legal,-37.4865576,144.587486,,
452,Gladstone Park - Westmeadows,Legal Services,Cassar & Ryan Conveyancing Pty Ltd,-37.687298,144.888832,,
453,Gladstone Park - Westmeadows,Legal Services,Ford Legal,-37.688214,144.884954,,
454,Gladstone Park - Westmeadows,Legal Services,Gladstone Park Conveyancing,-37.688557,144.883216,,
456,Malvern - Glen Iris,Legal Services,Peter Speakman & Co Pty Lawyers,-37.8533944,145.0427547,,
457,Malvern - Glen Iris,Legal Services,Livaditis Lawyers,-37.8619322,145.0651253,,
458,Malvern - Glen Iris,Legal Services,Global Brand Protection,-37.8533386,145.0439046,,
462,Malvern - Glen Iris,Legal Services,Bartram Lawyers,-37.8637753,145.0501728,,
463,Glen Waverley,Legal Services,GE Law Services,-37.881804,145.1638521,,
464,Glen Waverley,Legal Services,Cumberbatch and Williams Lawyers,-37.868714,145.164325,,
465,Glen Waverley,Legal Services,Original Conveyancing Services,-37.880455,145.164089,,
466,Glen Waverley,Legal Services,Discount Legal Conveyancing,-37.879413,145.16541,,
469,Glen Waverley,Legal Services,Sharrock Pitman Legal,-37.8809786,145.1612896,,
472,Glen Waverley,Legal Services,Rayner Song Family Lawyers,-37.879158,145.164271,,
473,Glen Waverley,Legal Services,Monash Law,-37.880722,145.18665,,
474,Glen Waverley,Legal Services,Dispute Over Mediation Services,-37.880967,145.161285,,
475,Glenroy,Legal Services,Buller Mcleod PTY,-37.704227,144.9162178,,
476,Glenroy,Legal Services,Melbourne Injury Lawyers,-37.7062334,144.916839,,
477,Glenroy,Legal Services,Ryan Carlisle Thomas Lawyers,-37.7049678,144.918015,,
478,Glenroy,Legal Services,Pearsons Lawyers,-37.706757,144.9165696,,
479,Glenroy,Legal Services,Ozer Lawyers,-37.7050395,144.915421,,
481,Greensborough,Legal Services,First Class Legal,-37.7041974,145.1013346,,
482,Greensborough,Legal Services,Charles Tinney & Associates,-37.701302,145.106701,,
483,Greensborough,Legal Services,Greensborough Family Relationship Centre,-37.7046323,145.1021894,,
484,Greensborough,Legal Services,David Stagg Tonkin & Co Barristers & Solicitors,-37.7044506,145.1062968,,
485,Greensborough,Legal Services,Ryan Mackey & McClelland,-37.702942,145.104494,,
486,Greensborough,Legal Services,Burns & Tinney,-37.701305,145.106762,,
487,Greensborough,Legal Services,Maurice Blackburn Lawyers Greensborough,-37.704663,145.101986,,
488,Greensborough,Legal Services,Flitner & Company,-37.7034048,145.1039492,,
489,Greensborough,Legal Services,Flitner TC Solicitors,-37.703332,145.103817,,
490,Greensborough,Legal Services,Better Place Australia Greensborough,-37.686,145.117,,
493,Greensborough,Legal Services,Melbourne Mediation Centre,-37.7021633,145.1067083,,
495,Greensborough,Legal Services,MK Steele & Giammario,-37.7041965,145.1017656,,
499,Greenvale - Bulla,Legal Services,Paramount Conveyancing Practice,-37.6393826,144.8820468,,
501,Hadfield,Legal Services,Fast Process Service,-37.710999,144.951466,,
502,Hallam,Legal Services,Jay & Co Barristers and Solicitors,-38.005117,145.267088,,
503,Hallam,Legal Services,Alcore Conveyancing,-38.00474,145.267175,,
504,Hallam,Legal Services,Mark G Bramich,-38.004592,145.267293,,
505,Hampton Park - Lynbrook,Legal Services,Legal Transfers Conveyancing,-37.9462749,145.0223981,,
506,Hampton Park - Lynbrook,Legal Services,Bayside Family Law Solutions,-37.9402414,145.0018379,,
507,Hampton Park - Lynbrook,Legal Services,HobanLegal,-37.9373598,145.0034298,,
508,Hampton Park - Lynbrook,Legal Services,"David Naidoo & Associates - Building and construction lawyers in Hampton Park, Melbourne",-38.0325945,145.2655557,,
509,Hampton Park - Lynbrook,Legal Services,Aldgate Conveyancing,-38.034926,145.265868,,
510,Hampton Park - Lynbrook,,Mian Phillips & Co,-38.031691,145.265512,,
511,Harkaway,Legal Services,Neal Collin & Associates,-38.002068,145.374086,,
512,Hastings - Somers,,Matrix Conveyancing,-38.2948461,145.1867377,,
513,Hastings - Somers,,JKB Lawyers,-38.307082,145.1936647,,
514,Hawthorn,Legal Services,Chase Legal,-37.8136497,145.0233725,,
515,Hawthorn,Legal Services,GDM Legal & Conveyancing,-37.827302,145.03468,,
516,Hawthorn,Legal Services,Moores,-37.8206744,145.0223392,,
520,Hawthorn East,Legal Services,Rennick & Gaynor Solicitors,-37.8309378,145.0540715,,
521,Hawthorn East,Legal Services,MELCA,-37.8252932,145.0492261,,
523,Healesville - Yarra Glen,Legal Services,O'Brien & Black Lawyers,-37.654548,145.514382,,
524,Healesville - Yarra Glen,Legal Services,Eastern Community Legal Centre Inc,-37.6529473,145.5172723,,
526,Heathmont,Legal Services,Del Monaco Wootton & Co,-37.8281337,145.2468692,,
527,Heidelberg - Rosanna,Legal Services,JPLegal,-37.756146,145.06699,,
528,Heidelberg - Rosanna,Legal Services,DWF Adjusting (Australia) Pty Ltd,-37.7569429,145.0697727,,
529,Heidelberg - Rosanna,Legal Services,Morgan Legal,-37.7562919,145.0692365,,
530,Heidelberg - Rosanna,Legal Services,Doogue + George Criminal Lawyers Heidelberg,-37.7561467,145.0670049,,
531,Heidelberg - Rosanna,Legal Services,McCormack's Legal Practitioners,-37.756605,145.0660951,,
532,Heidelberg - Rosanna,Legal Services,ASAP Lawyers,-37.756677,145.068594,,
534,Heidelberg West,Legal Services,West Heidelberg Community Legal Service,-37.7397352,145.0405152,,
535,Heidelberg West,Legal Services,Chester Metcalfe & Co,-37.7494584,145.0429399,,
537,Cheltenham - Highett,Legal Services,Currie Law,-37.9484574,145.040489,,
538,Cheltenham - Highett,Legal Services,Hassall's Litigation Services,-37.9489639,145.0430708,,
539,Cheltenham - Highett,Legal Services,Bayside Mediation,-37.9488643,145.044147,,
540,Cheltenham - Highett,Legal Services,de Kretser Law,-37.9491525,145.0442124,,
541,Cheltenham - Highett,Legal Services,James Dowsley & Associates Pty Ltd,-37.9487034,145.0426848,,
542,Hillside,Legal Services,AA Conveyancing Services,-37.703103,144.746668,,
543,Hoppers Crossing,Legal Services,Computing & Legal Services Pty Ltd,-37.863664,144.668702,,
544,Hoppers Crossing,Legal Services,Thelma Palbas & Associates,-37.8797087,144.703947,,
545,Hoppers Crossing,Legal Services,LifeWorks Relationship Counselling and Education Services,-37.870649,144.683488,,
547,Hughesdale,Legal Services,Migration Law Matters,-37.9091189,145.084814,,
549,Ivanhoe East - Eaglemont,Legal Services,DLT Legal,-37.7754391,145.039228,,
550,Ivanhoe East - Eaglemont,Legal Services,Adams Maguire Sier,-37.7680045,145.0435261,,
551,Ivanhoe East - Eaglemont,Legal Services,Rush & Failla,-37.7682873,145.0425764,,
552,Ivanhoe East - Eaglemont,Legal Services,Templer Legal,-37.768757,145.043949,,
555,Ivanhoe East - Eaglemont,Legal Services,FERDINAND ZITO & ASSOCIATES : LEGAL PRACTITIONERS,-37.7725639,145.0592649,,
557,Kealba,Legal Services,faid Conveyancing Services,-37.739483,144.8242595,,
558,Keilor,Legal Services,Eugene Naidoo & Associates,-37.711667,144.810767,,
559,Keilor,Legal Services,Rodriguez Family Lawyers,-37.7187721,144.8357197,,
561,Keilor East,Legal Services,Essendon & Suburbs Conveyancing Services,-37.742655,144.861972,,
562,Kensington,Legal Services,Flemington & Kensington Community Legal Centre,-37.7891389,144.9287112,,
564,Kew,Legal Services,Resolution Legal Melbourne,-37.8086,145.027509,,
565,Kew,Legal Services,MH Legal Advisors,-37.801312,145.030748,,
568,Kew,Legal Services,Dennemeyer & Associates,-37.806828,145.033027,,
569,Kilmore,Legal Services,R. P. Hoban,-37.2919124,144.9507689,,
570,Kilmore,Legal Services,Paul Maginn,-37.2918859,144.9508016,,
571,Kilsyth,Legal Services,Alpass & Associates,-37.801629,145.309439,,
572,Seddon - Kingsville,,John J Courtney Tax Agents,-37.8110348,144.8715104,"28 Albion St, Kingsville VIC 3012",(03) 9314 4685
573,Seddon - Kingsville,,Link Conveyancing,-37.808389,144.88409,"106 Williamstown Rd, Kingsville VIC 3012",(03) 9689 4833
574,Kyneton,Legal Services,DeLacy Mediation,-37.178579,144.489396,,
575,Lalor,Legal Services,Collards Barristers & Solicitors,-37.673596,145.016264,,
576,Lalor,Legal Services,Abundant Conveyancing Services,-37.672518,145.017819,,
577,Lalor,Legal Services,Costanzo Lawyers,-37.672336,145.016375,,
578,Lalor,Legal Services,Leading Conveyancing,-37.6652397,144.9856032,,
579,Lalor,Legal Services,Dreadnought Document Service,-37.669755,145.021816,,
584,Lalor,Legal Services,Sabdo & Associates Lawyers,-37.666328,145.021014,,
585,Langwarrin ,Law firm,Peter Haberle,-38.147384,145.1738,"5/411 McClelland Dr, Langwarrin VIC 3910",(03) 9789 7655
586,Langwarrin ,Legal Services,Qhm Lawyers,-38.152349,145.1636,"212 Karingal Dr, Frankston VIC 3199",0432 866 816
587,Langwarrin ,Legal Services,Langwarrin Conveyancing Services,-38.15786,145.1842,"10 Colin Court,Langwarrin 3910",(03) 9789 7870
588,Langwarrin ,Legal Services,Double Bay Conveyancing,-38.166769,145.1626,"7 Apollo Ct, Frankston VIC 3199",(03) 9789 7352
589,Langwarrin ,Legal Services,Silverthorn Conveyancing Langwarrin,-38.1513175,145.1971,"The Gateway, Shop 3/230 Cranbourne-Frankston Rd, Langwarrin VIC 3910",(03) 8743 1068
590,Langwarrin ,Legal Services,All Day Conveyancing,-38.157522,145.1982,"1 Emerald Ct, Langwarrin VIC 3910",0418 547 179
591,Langwarrin ,Legal Services,Saker Conveyancing,-38.146443,145.1914,"54 Pindara Blvd, Langwarrin VIC 3910",(03) 8790 0270
592,Langwarrin ,Legal Services,Victoria Legal Aid,-38.138917,145.1274,"34 Dandenong Rd W, Frankston VIC 3199",(03) 9784 5222
593,Langwarrin South,Legal Services,Intense Impressions Photography,-38.194928,145.181707,,
594,Laverton,Legal Services,Nanscawen Lawyers,-37.8683257,144.7610435,,
595,Lilydale - Coldstream,Legal Services,Goodman Group Lawyers,-37.757992,145.351287,,
596,Lilydale - Coldstream,Legal Services,Paul B Connor Solicitor,-37.758041,145.350412,,
597,Lilydale - Coldstream,Legal Services,RNG Lawyers,-37.7575186,145.3479764,,
598,Lilydale - Coldstream,Legal Services,Yarra Valley Process Service,-37.7549564,145.3817288,,
599,Lilydale - Coldstream,Legal Services,RNG Lawyers,-37.757592,145.347928,,
601,Lilydale - Coldstream,Legal Services,Ken Smith & Associates,-37.7570778,145.3599639,,
605,Lilydale - Coldstream,Legal Services,Johnstone and Reimer Lawyers,-37.7569161,145.3537349,,
607,Lilydale - Coldstream,Legal Services,Williams & Lay Lawyers,-37.7567593,145.3532271,,
608,Lilydale - Coldstream,Legal Services,Di Battista & Co,-37.7580247,145.3521743,,
609,Lilydale - Coldstream,Legal Services,Crest Conveyancing,-37.757999,145.351321,,
610,Lynbrook - Lyndhurst,Legal Services,DDSS Legal Conveyancing,-38.057305,145.245978,,
611,Macedon,Legal Services,Noy Justine,-37.422292,144.567588,,
612,Macedon,Legal Services,Noy & Associates Lawyers,-37.422661,144.564576,,
613,Maidstone,Legal Services,Law Partners - Personal Injury Lawyers Maidstone,-37.7787094,144.8763725,,
614,Malvern - Glen Iris,Legal Services,Testart Family Lawyers,-37.8459492,145.0389885,,
615,Malvern - Glen Iris,Legal Services,"Hartwell Legal - Incapacity, Wills & Estates Experts",-37.84495,145.038295,,
618,Malvern East,Legal Services,Boothby & Boothby,-37.8751512,145.0422836,,
620,Malvern Iris,Legal Services,"Hartwell Legal - Incapacity, Wills & Estates Experts",-37.845027,145.0384,"8/1 Milton Parade, Malvern VIC 3144",0413 181 545
621,Malvern Iris,Legal Services,Testart Family Lawyers,-37.8459492,145.039,"23 Milton Parade, Malvern VIC 3144",(03) 9854 6212
622,Malvern Iris,Legal Services,Peter Speakman & Co Pty Lawyers,-37.8535058,145.0427,"2/1396 Malvern Rd, Glen Iris VIC 3146",(03) 9822 8611
623,Malvern Iris,Legal Services,Global Brand Protection,-37.853274,145.0439,"1/1489 Malvern Rd, Glen Iris VIC 3146",(03) 9822 2889
624,Malvern Iris,Legal Services,Bartram Lawyers,-37.863644,145.0503,"1/173 Burke Rd, Glen Iris VIC 3146",(03) 9885 9375
625,Malvern Iris,Legal Services,John Bennison,-37.869053,145.0389,"43 Tooronga Rd, Malvern East VIC 3145",(03) 9571 5000
626,Malvern Iris,Legal Services,Moyle Legal,-37.86684,145.0307,"91 Station St, Malvern VIC 3144",(03) 9509 9360
627,Malvern Iris,Legal Services,Burke Family Law,-37.8656312,145.0294,"53 Station St, Malvern VIC 3144",0419 550 586
628,Malvern Iris,Legal Services,Lopes Family Law,-37.8606082,145.0288,"1/52 Glenferrie Rd, Malvern VIC 3144",(03) 9500 2299
629,Malvern Iris,Legal Services,Held Lawyers - Malvern,-37.8598352,145.029,"Level 1/180-182 Glenferrie Rd, Malvern VIC 3144",(03) 9509 0710
630,Malvern Iris,Legal Services,Stuart Morgan & Associates,-37.8583127,145.0292,"238 Glenferrie Rd, Malvern VIC 3144",(03) 9576 2300
631,Maribyrnong,Legal Services,Chircop Legal,-37.7836195,144.8917833,,
632,Maribyrnong,Legal Services,McManus & Co Lawyers,-37.78362,144.891778,,
633,Mccrae,,GZ Conrad,-38.3508897,144.9427359,,
634,Mckinnon,Legal Services,Prior Law,-37.911062,145.04061,,
635,Mckinnon,Legal Services,Dunstan & Raftis,-37.911031,145.03941,,
637,Meadow Heights,Legal Services,Meadow Heights Conveyancing Services,-37.641145,144.913285,,
639,Melbourne,Legal Services,Victoria Legal Aid,-37.8155055,144.9567621,,
640,Melbourne,Legal Services,Women's Legal Service Victoria,-37.81254,144.9563499,,
641,Melbourne,Legal Services,SKB Legal Services,-37.8376252,144.9755031,,
642,Melbourne,Legal Services,Federation of Community Legal Centres (Vic) Inc.,-37.813463,144.9670777,,
643,Melbourne,Legal Services,Richmond & Bennison Lawyers,-37.814844,144.959936,,
644,Melbourne,Legal Services,Legal Services Board,-37.8160035,144.9577457,,
645,Melbourne,Legal Services,St James Legal Services,-37.8167428,144.9614342,,
646,Melbourne,Legal Services,Dixon Legal Services,-37.8171434,144.9603763,,
647,Melbourne,Legal Services,Inner City Legal Services Pty Ltd,-37.81468,144.960224,,
648,Melbourne,Legal Services,Victorian Legal Services Commissioner,-37.8161572,144.9572088,,
649,Melbourne,Legal Services,AED Legal Centre,-37.8178116,144.9651461,,
650,Melbourne,Legal Services,Consumer Action Law Centre,-37.814339,144.960224,,
651,Melbourne,Legal Services,Disability Discrimination Legal Service,-37.8150076,144.9553884,,
652,Melbourne,Legal Services,Law Image Melbourne | Legal document production & Managed services,-37.8150532,144.9592057,,
653,Melbourne,Legal Services,Rogers Legal Service,-37.8146416,144.9603247,,
654,Melbourne,Legal Services,GMS Legal Service Agency,-37.8151277,144.961052,,
655,Melbourne,Legal Services,ADC Legal Litigation Lawyers,-37.8158099,144.966481,,
656,Melbourne,Legal Services,First Legal & Migration Services Pty Ltd,-37.8137451,144.9604703,,
657,Melbourne,Legal Services,AHL Legal AHLÃ¥__Ã¥Â´Ã¥Ã__ÃŒÃè,-37.8163932,144.9571393,,
658,Melbourne,Legal Services,SM Legal,-37.8160774,144.9584934,,
659,Melbourne,Legal Services,Lloyd Meridian Legal,-37.8165501,144.9638398,,
660,Melbourne,Legal Services,Hendersons Legal,-37.816846,144.957349,,
661,Melbourne,Legal Services,MyVisa Australia,-37.814178,144.972777,,
662,Melbourne,Legal Services,Warlows Legal Melbourne,-37.8107524,144.9583442,,
663,Melbourne,Legal Services,Nevile & Co. Commercial Lawyers,-37.814235,144.970016,,
664,Melbourne,Legal Services,First Legal & Migration Services Pty Ltd,-37.8135405,144.9604625,,
665,Melbourne,Legal Services,Epiq,-37.8140345,144.9605991,,
666,Melbourne,Legal Services,Justice Connect,-37.8152823,144.9601193,,
667,Melbourne,Legal Services,Law Aid,-37.8142751,144.95706,,
668,Melbourne,Legal Services,Herbert Smith Freehills (Melbourne),-37.814518,144.970355,,
669,Melbourne,Legal Services,Avenue Solutions,-37.83973,144.97601,,
670,Melbourne,Legal Services,Notary Services Australia,-37.8159854,144.957957,,
671,Melbourne,Legal Services,Eales & Mackenzie Lawyers,-37.817559,144.9615321,,
672,Melbourne,Legal Services,Nicholas O'Donohue & Co,-37.8157698,144.9587559,,
673,Melbourne,Legal Services,Legally Yours,-37.817067,144.959725,,
674,Melbourne,Legal Services,Barristers Clerking Services PTY Ltd.,-37.8142634,144.9571557,,
675,Melbourne,Legal Services,Simon Legal,-37.8135355,144.9604438,,
676,Melbourne,Legal Services,Horizon Lex | Business + Law,-37.8162335,144.9609575,,
677,Melbourne,Legal Services,SP Legal,-37.81688,144.957092,,
678,Melbourne,Legal Services,FAL Lawyers,-37.8163543,144.9589048,,
679,Melbourne,Legal Services,AR LAW Services: Master Migration & Visa Lawyers,-37.818081,144.964621,,
680,Melbourne,Legal Services,Norton Rose Fulbright,-37.8158872,144.9595931,,
681,Melbourne,Legal Services,Blackstone Legal Costing,-37.8126935,144.956645,,
682,Melbourne,Legal Services,Velocity Legal,-37.8108817,144.9620182,,
683,Melbourne,Legal Services,Spagnol Legal,-37.816909,144.957245,,
684,Melbourne,Legal Services,Stesin Legal,-37.8157242,144.9627614,,
685,Melbourne,Legal Services,Immigration Agents Melbourne Free Advice - Graham Slater York Lawyers,-37.8158909,144.9588604,,
686,Melbourne,Legal Services,DWF (Australia),-37.815936,144.955989,,
687,Melbourne,Legal Services,Sierra Corporate Pty Ltd,-37.817305,144.959444,,
688,Melbourne,Legal Services,Noble Lawyers,-37.8145004,144.9600309,,
689,Melbourne,Legal Services,Gilbert + Tobin,-37.814587,144.970667,,
690,Melbourne,Legal Services,MD Processing Service,-37.8527492,144.9796978,,
728,Melbourne,Legal Services,Khor & Burr Pty Ltd,-37.84968,144.979899,,
729,Melbourne,Legal Services,Kai Legal,-37.8154534,144.9634294,,
733,Melbourne,Legal Services,Visatec Legal - Lawyers & Notary Public,-37.835908,144.973743,,
734,Melbourne,Legal Services,Rosendorff Lawyers,-37.8384689,144.975597,,
740,Melbourne,Legal Services,Health Legal Pty Ltd.,-37.8432242,144.9772825,,
741,Melbourne,Legal Services,McNab McNab & Starke Lawyers,-37.81381,144.9559272,,
743,Melton,Legal Services,Brimbank Melton Community Legal Centre,-37.6849219,144.5820482,,
744,Melton,Legal Services,Adviceline Injury Lawyers,-37.6827791,144.5833075,,
745,Melton,Legal Services,Conveyancing Melton $350.00 by Graham Slater & York Lawyers,-37.6871122,144.5920142,,
746,Melton,Legal Services,Maurice Blackburn,-37.682979,144.5804663,,
747,Melton,Legal Services,Slater and Gordon Lawyers,-37.684033,144.5827791,,
748,Melton,Legal Services,Callea Pearce Lawyers,-37.6827847,144.5848408,,
749,Melton,Legal Services,"Shamanic Rain Lifestyle Centre & Natural Living Cafe - Spiritual, Psychic, Crystals",-37.6933627,144.6000323,,
750,Melton,Legal Services,Quality Conveyancing Group CONVEYANCING,-37.6827613,144.583741,,
751,Melton,Legal Services,Cameo Conveyancing Victoria,-37.68263,144.5801043,,
752,Melton,Legal Services,Better Place Australia Melton,-37.6829286,144.5792135,,
753,Melton,Legal Services,Homecall Conveyancing,-37.6834721,144.5841077,,
754,Melton,Legal Services,Robert D Taylor & Associates,-37.6840045,144.5827984,,
755,Melton,Legal Services,Ryan Carlisle Thomas Lawyers,-37.684316,144.581759,,
756,Melton,Legal Services,Hayden Legro,-37.6827016,144.585118,,
757,Melton West,Legal Services,IMCS Inclusive Mediation & Counselling Services,-37.676096,144.558665,,
758,Mentone,Legal Services,Cheltenham Conveyancing,-37.9827077,145.0709764,,
759,Mill Park,Legal Services,ANTHONYS SOLICITORS,-37.6676728,145.0617948,,
761,Mill Park,Legal Services,Mahons with Yuncken & Yuncken,-37.6674444,145.0613108,,
762,Mill Park,Legal Services,BK Lawyers and Conveyancers,-37.6667636,145.0617864,,
